,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
212,1941-11-07,Pianorecital Walter Rummel,False,518269,Pianorecital Walter Rummel,N/A,N/A,N/A,N/A,N/A,1941-1942
213,1941-11-08,De Graaf van Luxemburg,False,290907,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1941-1942
214,1941-11-09,Laagland,False,585287,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1941-1942
215,1941-11-09,20 minuten ballet Sylphiden,False,158180,De Sylphiden,N/A,Michel Brusselmans,?,De Sylphiden,ballet,1941-1942
216,1941-11-09,Bohème,False,993488,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
217,1941-11-12,Duits Weermachtconcert en zang met koor,False,914716,Duits Weermachtconcert en zang met koor,N/A,N/A,N/A,N/A,N/A,1941-1942
218,1941-11-13,Laagland,False,963635,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1941-1942
219,1941-11-14,Dansconcert Robert Garden en zijn orkest,False,822487,Dansconcert Robert Garden en zijn orkest,N/A,N/A,N/A,N/A,N/A,1941-1942
220,1941-11-15,Madame Butterfly,False,221513,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
221,1941-11-16,"Eva, het fabrieksmeisje",False,840531,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
222,1941-11-16,20 minuten ballet Koekoek,False,203970,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,1941-1942
223,1941-11-16,Madame Butterfly,False,175554,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
224,1941-11-17,Monika,False,759334,Monika,DUI,Nico Dostal,1937,Monika,operette,1941-1942
225,1941-11-18,Concert Duitse Weermacht,False,119622,Concert Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1941-1942
226,1941-11-19,20 minuten ballet Koekoek,False,589755,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,1941-1942
227,1941-11-19,Madame Butterfly,False,257268,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
228,1941-11-20,20 minuten ballet Koekoek,False,389917,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,1941-1942
229,1941-11-20,Madame Butterfly,False,991526,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
230,1941-11-22,"Eva, het fabrieksmeisje",False,660285,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
231,1941-11-23,Madame Butterfly,False,738775,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
232,1941-11-23,"Eva, het fabrieksmeisje",False,946297,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
233,1941-11-27,"Eva, het fabrieksmeisje",False,581182,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
234,1941-11-29,Monika,False,224707,Monika,DUI,Nico Dostal,1937,Monika,operette,1941-1942
235,1941-11-30,Monika,False,370755,Monika,DUI,Nico Dostal,1937,Monika,operette,1941-1942
237,1941-12-03,Modeshow,False,478288,Modeshow,N/A,N/A,N/A,N/A,N/A,1941-1942
239,1941-12-04,20 minuten ballet Sylphiden,False,167926,De Sylphiden,N/A,Michel Brusselmans,?,De Sylphiden,ballet,1941-1942
240,1941-12-04,Bohème,False,253050,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
241,1941-12-05,Walter Rummel,False,167989,Walter Rummel,N/A,N/A,N/A,N/A,N/A,1941-1942
242,1941-12-06,Ballet,False,624527,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1941-1942
243,1941-12-06,Bohème,False,893892,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
244,1941-12-07,Ballet,False,186994,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1941-1942
245,1941-12-07,Bohème,False,194653,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
246,1941-12-07,Laagland,False,938218,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1941-1942
247,1941-12-09,De Barbier van Sevilla,False,441460,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
248,1941-12-10,De Barbier van Sevilla,False,839746,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
249,1941-12-11,Monika,False,732502,Monika,DUI,Nico Dostal,1937,Monika,operette,1941-1942
250,1941-12-12,Bohème,False,698126,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
251,1941-12-13,Monika,False,636737,Monika,DUI,Nico Dostal,1937,Monika,operette,1941-1942
252,1941-12-14,"Eva, het fabrieksmeisje",False,535535,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
253,1941-12-14,Ballet,False,661937,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1941-1942
254,1941-12-14,Bohème,False,745894,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1941-1942
255,1941-12-16,Filharmonisch orkest van Antwerpen,False,253108,Filharmonisch orkest van Antwerpen,N/A,N/A,N/A,N/A,N/A,1941-1942
256,1941-12-18,Martha,False,514466,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1941-1942
257,1941-12-20,De Parelvissers,False,184262,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
258,1941-12-21,Spreekbeurt door Steenbondt,False,391967,Spreekbeurt door Steenbondt,N/A,N/A,N/A,N/A,N/A,1941-1942
259,1941-12-21,De Parelvissers,False,384927,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
260,1941-12-21,"Eva, het fabrieksmeisje",False,604646,"Eva, het fabrieksmeisje",FR,Franz Lehár,1911,Eva,operette,1941-1942
261,1941-12-25,Het Land van de Glimlach,False,745452,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
262,1941-12-25,De Parelvissers,False,825223,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
263,1941-12-27,Orpheus,False,942402,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
264,1941-12-28,Orpheus,False,510071,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
265,1941-12-28,Martha,False,176884,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1941-1942
266,1941-12-29,De Parelvissers,False,259588,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
267,1941-12-30,Orpheus,False,667023,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
268,1942-01-01,Orpheus,False,798231,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
274,1942-01-11,Laagland,False,145831,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1941-1942
276,1942-01-15,De Parelvissers,False,922641,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
277,1942-01-16,Die Entfürung aus dem Serail,False,768132,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,1941-1942
278,1942-01-17,Concert NIR,False,614773,Concert NIR,N/A,N/A,N/A,N/A,N/A,1941-1942
279,1942-01-17,De Parelvissers,False,412195,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,1941-1942
280,1942-01-18,De Vledermuis,False,677092,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
282,1942-01-22,De Vledermuis,False,313212,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
283,1942-01-24,Tosca,False,138486,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
284,1942-01-25,Het Land van de Glimlach,False,238502,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
285,1942-01-25,Tosca,False,774175,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
286,1942-01-29,Tosca,False,400166,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
287,1942-01-31,Rigoletto,False,172848,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1941-1942
288,1942-02-01,Tosca,False,918911,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
290,1942-02-02,Galaconcert,False,274221,Galaconcert,N/A,N/A,N/A,N/A,N/A,1941-1942
291,1942-02-04,De Vledermuis,False,259693,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
292,1942-02-05,Rigoletto,False,893743,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1941-1942
293,1942-02-07,De Vledermuis,False,774243,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
294,1942-02-08,Rigoletto,False,387441,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1941-1942
295,1942-02-08,De Dans met de Keizerin,False,648058,De Dans met de Keizerin,?,?,?,?,?,1941-1942
296,1942-02-11,Concert symfonieorkest,False,855913,Concert symfonieorkest,N/A,N/A,N/A,N/A,N/A,1941-1942
297,1942-02-12,De Dans met de Keizerin,False,969543,De Dans met de Keizerin,?,?,?,?,?,1941-1942
298,1942-02-14,De Dans met de Keizerin,False,982932,De Dans met de Keizerin,?,?,?,?,?,1941-1942
300,1942-02-15,De Dans met de Keizerin,False,786777,De Dans met de Keizerin,?,?,?,?,?,1941-1942
301,1942-02-15,Het Land van de Glimlach,False,483617,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
302,1942-02-19,Tosca,False,562817,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
303,1942-02-20,Tsaar en Timmerman,False,788436,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1941-1942
304,1942-02-21,Het Land van de Glimlach,False,351537,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
305,1942-02-22,Tosca,False,305625,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1941-1942
306,1942-02-22,De Vledermuis,False,549113,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
307,1942-02-24,Orpheus,False,841644,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
308,1942-02-26,De Vledermuis,False,578502,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
309,1942-02-28,Rigoletto,False,557659,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1941-1942
310,1942-03-01,De Vledermuis,False,869451,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
311,1942-03-01,Orpheus,False,963860,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
312,1942-03-04,Concert Duitse Weermacht,False,428934,Concert Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1941-1942
313,1942-03-05,Orpheus,False,894089,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
314,1942-03-06,Die Weenersangerknaben,False,646696,Wiener Sängerknaben,N/A,N/A,N/A,N/A,N/A,1941-1942
315,1942-03-07,Orpheus,False,971204,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,1941-1942
316,1942-03-08,Het Land van de Glimlach,False,736466,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
317,1942-03-08,De Dans met de Keizerin,False,997978,De Dans met de Keizerin,?,?,?,?,?,1941-1942
318,1942-03-12,Het Land van de Glimlach,False,727288,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
319,1942-03-14,De Vliegende Hollander,False,174728,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
320,1942-03-15,De Vliegende Hollander,False,905202,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
321,1942-03-15,La Traviata,False,117236,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
322,1942-03-19,De Vliegende Hollander,False,335154,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
323,1942-03-21,De Dans met de Keizerin,False,966880,De Dans met de Keizerin,?,?,?,?,?,1941-1942
324,1942-03-22,De Dans met de Keizerin,False,979681,De Dans met de Keizerin,?,?,?,?,?,1941-1942
325,1942-03-22,Rigoletto,False,964494,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,1941-1942
326,1942-03-24,De Vliegende Hollander,False,277740,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
327,1942-03-26,La Traviata,False,439245,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
328,1942-03-28,De Vliegende Hollander,False,284627,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
329,1942-03-29,La Traviata,False,142496,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
330,1942-03-29,De Vliegende Hollander,False,854818,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
331,1942-04-02,De Dans met de Keizerin,False,657993,De Dans met de Keizerin,?,?,?,?,?,1941-1942
332,1942-04-04,Prinses Zonneschijn,False,899095,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1941-1942
333,1942-04-05,Ballet,False,756138,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,1941-1942
334,1942-04-05,De Barbier van Sevilla,False,428076,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
335,1942-04-05,Prinses Zonneschijn,False,436822,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1941-1942
336,1942-04-08,Het Land van de Glimlach,False,609298,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
337,1942-04-09,La Traviata,False,688758,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
338,1942-04-11,La Traviata,False,512777,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
339,1942-04-12,Het Land van de Glimlach,False,982106,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1941-1942
341,1942-04-14,Prinses Zonneschijn,False,905251,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1941-1942
342,1942-04-16,Ballet Carnaval,False,292962,Carnaval,N/A,Jaak Opsomer,1936,Carnaval,ballet,1941-1942
343,1942-04-16,De Barbier van Sevilla,False,302378,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
344,1924-04-18,Het Land van de Glimlach,False,562355,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1923-1924
345,1942-04-19,La Traviata,False,694959,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
346,1942-04-19,De Vliegende Hollander,False,708945,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
347,1942-04-22,De Vledermuis,False,505802,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1941-1942
348,1942-04-23,De Vliegende Hollander,False,579436,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
349,1942-04-25,De Barbier van Sevilla,False,395459,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
350,1942-04-26,De Vliegende Hollander,False,309542,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1941-1942
351,1942-04-26,La Traviata,False,525960,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
352,1942-04-30,Prinses Zonneschijn,False,874625,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1941-1942
353,1942-05-01,Feest van de Arbeid,False,685461,Feest van de Arbeid,N/A,N/A,N/A,N/A,N/A,1941-1942
354,1942-05-02,De Ontvoering uit het Serail,False,812004,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,1941-1942
355,1942-05-03,Prinses Zonneschijn,False,828872,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,1941-1942
356,1942-05-03,De Ontvoering uit het Serail,False,789125,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,1941-1942
357,1942-05-04,Symfonisch concert nav Mozartweek,False,299225,Symfonisch concert nav Mozartweek,N/A,N/A,N/A,N/A,N/A,1941-1942
358,1942-05-05,Mozart theenamiddag,False,655088,Mozart theenamiddag,N/A,N/A,N/A,N/A,N/A,1941-1942
359,1942-05-06,Voordracht Mozart in Redoutezaal,False,582123,Voordracht Mozart in Redoutezaal,N/A,N/A,N/A,N/A,N/A,1941-1942
360,1942-05-07,"Kamermuziek, herdenking Mozart",False,122246,"Kamermuziek, herdenking Mozart",N/A,N/A,N/A,N/A,N/A,1941-1942
361,1942-05-08,Symfonisch Orkest: Paul Douliez,False,616099,Symfonisch Orkest: Paul Douliez,N/A,N/A,N/A,N/A,N/A,1941-1942
362,1942-05-09,Cosi fan Tutte,False,792148,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1941-1942
363,1942-05-10,De Ontvoering uit het Serail,False,920907,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,1941-1942
365,1942-05-14,De Barbier van Sevilla,False,792458,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
366,1942-05-16,De Mascotte,False,773492,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
367,1942-05-17,De Mascotte,False,945550,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
368,1942-05-17,De Barbier van Sevilla,False,832726,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1941-1942
369,1942-05-18,De Ontvoering uit het Serail,False,575868,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,1941-1942
370,1942-05-21,De Mascotte,False,203597,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
371,1942-05-23,La Traviata,False,595959,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1941-1942
372,1942-05-24,Banket (Grote Bazar) salons,False,380093,Banket (Grote Bazar) salons,N/A,N/A,N/A,N/A,N/A,1941-1942
373,1942-05-24,Cosi fan Tutte,False,661013,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1941-1942
376,1942-05-28,Cosi fan Tutte,False,999156,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,1941-1942
377,1942-05-30,De Lustige Weduwe,False,845460,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1941-1942
378,1942-05-31,De Lustige Weduwe,False,748946,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1941-1942
379,1942-05-31,De Mascotte,False,100502,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
380,1942-06-01,Faust,False,219286,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
381,1942-06-04,Faust,False,113321,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
382,1942-06-06,Faust,False,757487,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
383,1942-06-07,De Mascotte,False,863795,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
384,1942-06-07,Faust,False,826811,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
385,1942-06-11,De Lustige Weduwe,False,861486,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1941-1942
386,1942-06-13,De Zigeunerbaron,False,619542,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1941-1942
387,1942-06-14,Faust,False,322836,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
388,1942-06-14,De Lustige Weduwe,False,120946,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1941-1942
389,1942-06-16,Tentoonstelling in Redoutezaal,False,370282,Tentoonstelling in Redoutezaal,N/A,N/A,N/A,N/A,N/A,1941-1942
390,1942-06-16,Zwei Frohe Stunden,False,517992,Zwei Frohe Stunden,N/A,N/A,N/A,N/A,N/A,1941-1942
391,1942-06-17,Variété voor de Duitse Weermacht,False,860733,Variété voor de Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1941-1942
392,1942-06-18,De Zigeunerbaron,False,334112,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1941-1942
393,1942-06-20,Faust,False,750637,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
394,1942-06-21,De Zigeunerbaron,False,706917,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1941-1942
396,1942-06-22,De Zigeunerbaron,False,950548,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1941-1942
397,1942-06-25,Faust,False,162204,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
398,1942-06-27,De Mascotte,False,147012,De Mascotte,FR,Richard Strauss,1933,Arabella,lyrisch komedie,1941-1942
399,1942-06-28,De Lustige Weduwe,False,760765,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1941-1942
400,1942-06-28,Faust,False,260390,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
401,1942-06-29,Faust,False,167243,Faust,FR,Charles Gounod,1859,Faust,grand opera,1941-1942
402,1942-07-01,Concert van de Duitse Weermacht,False,214676,Concert van de Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1941-1942
403,1942-07-04,Balletavond Opera van Essen,False,255329,Balletavond Opera van Essen,N/A,N/A,N/A,N/A,N/A,1941-1942
404,1942-07-05,Bont artiestenfeest,False,152425,Bont artiestenfeest,N/A,N/A,N/A,N/A,N/A,1941-1942
406,1942-07-11,Tijl Uilenspiegel,False,657029,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1941-1942
407,1942-07-12,Bont artiestenfeest,False,316876,Bont artiestenfeest,N/A,N/A,N/A,N/A,N/A,1941-1942
408,1942-07-16,Artiestenrevue,False,655577,Artiestenrevue,N/A,N/A,N/A,N/A,N/A,1941-1942
409,1942-07-18,Spreekbeurt,False,675581,Spreekbeurt,N/A,N/A,N/A,N/A,N/A,1941-1942
410,1942-07-19,Die Verkaufte Braut,False,477375,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1941-1942
411,1942-07-20,Die Verkaufte Braut,False,888409,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1941-1942
412,1942-07-21,Die Verkaufte Braut,False,890899,De Verkochte Bruid,TSJ,Bedřich	Smetana,1866,The Bartered Bride,czech national opera,1941-1942
413,1942-08-16,Tijl Uilenspiegel,False,878528,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,1941-1942
414,1942-09-06,Herhaling ‘sportfeest’ van de politie,False,295808,Herhaling ‘sportfeest’ van de politie,N/A,N/A,N/A,N/A,N/A,1942-1943
415,1942-10-01,Tannhäuser,False,809486,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
416,1942-10-04,Weenerbloed,False,937457,Weenerbloed,DUI,Johann Strauss,1899,Wiener Blut,operetta,1942-1943
417,1942-10-04,Tannhäuser,False,825911,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
418,1942-10-05,1 e symfonisch concert,False,572297,1 e symfonisch concert,N/A,N/A,N/A,N/A,N/A,1942-1943
419,1942-10-06,Weenerbloed,False,867723,Weenerbloed,DUI,Johann Strauss,1899,Wiener Blut,operetta,1942-1943
420,1942-10-07,Tosca,False,754311,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
421,1942-10-08,Tosca,False,551416,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
422,1942-10-11,Tosca,False,762772,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
423,1942-10-11,Weenerbloed,False,485282,Weenerbloed,DUI,Johann Strauss,1899,Wiener Blut,operetta,1942-1943
424,1942-10-13,Tosca,False,375404,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
425,1942-10-15,Weenerbloed,False,912393,Weenerbloed,DUI,Johann Strauss,1899,Wiener Blut,operetta,1942-1943
426,1942-10-17,Ein Heiterer Abend,False,261827,Ein Heiterer Abend,N/A,N/A,N/A,N/A,N/A,1942-1943
427,1942-10-18,Tannhäuser,False,783869,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
428,1942-10-18,Tosca,False,202893,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943
429,1942-10-19,Grootsche Kampvergadering,False,373362,Grootsche Kampvergadering,N/A,N/A,N/A,N/A,N/A,1942-1943
430,1942-10-20,Tannhäuser,False,416137,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1942-1943
431,1942-10-22,Weenerbloed,False,212609,Weenerbloed,DUI,Johann Strauss,1899,Wiener Blut,operetta,1942-1943
432,1942-10-25,Faust,False,291134,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
433,1942-10-25,Monika,False,754159,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
434,1942-10-27,Faust,False,238490,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943
435,1942-10-29,Gudrun,False,103870,Gudrun,DUI,Felix Draeseke,1883,Gudrun,operetta,1942-1943
436,1942-10-29,Monika,False,192145,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943
437,1942-11-01,Gudrun,False,100476,Gudrun,DUI,Felix Draeseke,1883,Gudrun,operetta,1942-1943
438,1942-11-01,Weenerbloed/Weenerwalsen,False,600720,Weenerbloed/Weenerwalsen,N/A,N/A,N/A,N/A,N/A,1942-1943
