,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
73,1941-02-16,De Zigeunerbaron,False,554126,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
74,1941-02-17,De Vledermuis,False,542899,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
75,1941-02-20,La Traviata,False,906924,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
76,1941-02-22,Duits Concert,False,218367,Duits Concert,N/A,N/A,N/A,N/A,N/A,1940-1941
77,1941-02-23,Operaconcert,False,311122,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
78,1941-02-23,Het Land van de Glimlach,False,592854,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1940-1941
79,1941-02-23,La Traviata,False,618683,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
80,1941-02-25,Fidelio,False,492942,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1940-1941
81,1941-02-27,De Vledermuis,False,227512,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
82,1941-03-02,De Zigeunerbaron,False,509046,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
83,1941-03-02,Frederika,False,354385,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,1940-1941
84,1941-03-04,Drei alte Schachteln,False,902462,Drei alte Schachteln,DUI,Walter Kollo,1917,Drei alte Schachteln,operette,1940-1941
85,1941-03-05,Drei alte Schachteln,False,600217,Drei alte Schachteln,DUI,Walter Kollo,1917,Drei alte Schachteln,operette,1940-1941
86,1941-03-06,Frederika,False,201926,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,1940-1941
87,1941-03-08,Tageszeifen der Liebe,False,260038,Tageszeifen der Liebe,?,?,?,?,?,1940-1941
88,1941-03-09,Operaconcert,False,272513,Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
89,1941-03-09,Frederika,False,278348,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,1940-1941
90,1941-03-09,De Barbier van Sevilla,False,515331,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
91,1941-03-13,La Traviata,False,996183,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
92,1941-03-13,Die Gleswister,False,619914,Die Gleswister,?,?,?,?,?,1940-1941
93,1941-03-16,De Barbier van Sevilla,False,358265,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
94,1941-03-16,De Zigeunerbaron,False,144719,De Zigeunerbaron,DUI,Johann Strauss,1885,Der Zigeunerbaron,operetta,1940-1941
95,1941-03-18,Liebe in der Lerchengasse,False,650911,Liebe in der Lerchengasse,DUI,Arno Vetterling,1936,Liebe in der Lerchengasse,operette,1940-1941
96,1941-03-19,Liebe in der Lerchengasse,False,662925,Liebe in der Lerchengasse,DUI,Arno Vetterling,1936,Liebe in der Lerchengasse,operette,1940-1941
97,1941-03-20,Koekoek,False,843031,De Koekoek,N/A,Jaak Opsomer,?,De Koekoek,ballet,1940-1941
98,1941-03-20,De Barbier van Sevilla,False,538413,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
99,1941-03-23,Frederika,False,662730,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,1940-1941
100,1941-03-23,La Traviata,False,437098,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1940-1941
101,1941-03-26,Tanzabend van Ballet Staatsop. Berlin,False,782598,Tanzabend van Ballet Staatsop. Berlin,N/A,N/A,N/A,N/A,N/A,1940-1941
102,1941-03-27,Anne-Marie,False,970306,Anne-Marie,N/A,N/A,N/A,N/A,N/A,1940-1941
103,1941-03-29,Duits concert: Niedersachsen Orchester Hannover,False,316886,Duits concert: Niedersachsen Orchester Hannover,N/A,N/A,N/A,N/A,N/A,1940-1941
104,1941-03-30,Kunstconcert,False,368250,Kunstconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
105,1941-03-30,Anne-Marie,False,623388,Anne-Marie,N/A,N/A,N/A,N/A,N/A,1940-1941
106,1941-03-30,Het Meisje van Zaventem,False,387106,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,1940-1941
107,1941-04-02,Zang en spreekbeurten,False,407809,Zang en spreekbeurten,N/A,N/A,N/A,N/A,N/A,1940-1941
108,1941-04-03,Het Meisje van Zaventem,False,706152,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,1940-1941
