Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0112_1933-1934_00113-20230218_112017.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0113_1933-1934_00114-20230218_112024.jpg	1933-1934	Sissy	10/12/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0114_1933-1934_00115-20230218_112034.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0115_1933-1934_00116-20230218_112041.jpg	1933-1934	Traviata	10/12/1933	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0116_1933-1934_00117-20230218_112051.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0117_1933-1934_00118-20230218_112059.jpg	1933-1934	Carmen	12/12/1933	GAKVO-gala	Dutch	N/A
0118_1933-1934_00119-20230218_112111.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0119_1933-1934_00120-20230218_112120.jpg	1933-1934	Traviata	14/12/1933	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0120_1933-1934_00121-20230218_112130.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0121_1933-1934_00122-20230218_112137.jpg	1933-1934	De Walkure	16/12/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0122_1933-1934_00123-20230218_112148.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0123_1933-1934_00124-20230218_112156.jpg	1933-1934	Traviata	17/12/1933	gastvoorstelling Ewa Bandrowska-Turska	Dutch	N/A
0124_1933-1934_00125-20230218_112205.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0310_1933-1934_00311-20230218_120800.jpg	1933-1934	Francesca	17/12/1933	N/A	Dutch	N/A
0125_1933-1934_00126-20230218_112246.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0126_1933-1934_00127-20230218_112254.jpg	1933-1934	Het Land van den Glimlach	19/12/1933	gastvoorstelling Hans Heinz	Dutch	N/A
0127_1933-1934_00128-20230218_112303.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0128_1933-1934_00129-20230218_112311.jpg	1933-1934	Het Land van den Glimlach	23/12/1933	gastvoorstelling Hans Heinz	Dutch	Datum aangepast, was eerst 21/12/1933
0129_1933-1934_00130-20230218_112321.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0130_1933-1934_00131-20230218_112330.jpg	1933-1934	Carmen	24/12/1933	N/A	Dutch	N/A
0131_1933-1934_00132-20230218_112337.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0132_1933-1934_00133-20230218_112345.jpg	1933-1934	Tosca	14/12/1933	gastvoorstelling Georges Youreneff – H. Joachim Heinz	Dutch	N/A
0133_1933-1934_00134-20230218_112358.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0134_1933-1934_00135-20230218_112408.jpg	1933-1934	Madame Butterfly	25/12/1933	gastvoorstelling Helena Krinkels	Dutch	N/A
0135_1933-1934_00136-20230218_112422.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0136_1933-1934_00137-20230218_112430.jpg	1933-1934	Sissy	25/12/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0137_1933-1934_00138-20230218_112507.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0138_1933-1934_00139-20230218_112516.jpg	1933-1934	Sissy	26/12/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0139_1933-1934_00140-20230218_112528.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0140_1933-1934_00141-20230218_112535.jpg	1933-1934	Het Land van den Glimlach	26/12/1933	gastvoorstelling H. Joachim Heinz	Dutch	N/A
0141_1933-1934_00142-20230218_112545.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0142_1933-1934_00143-20230218_112553.jpg	1933-1934	Tosca	27/12/1933	GAKVO-gala	Dutch	N/A
0143_1933-1934_00144-20230218_112601.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0144_1933-1934_00145-20230218_112608.jpg	1933-1934	De Tooverfluit	28/12/1933	gastvoorstelling Helena Krinkels	Dutch	N/A
0145_1933-1934_00146-20230218_112617.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0146_1933-1934_00147-20230218_112625.jpg	1933-1934	Sissy	30/12/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0147_1933-1934_00148-20230218_112637.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0148_1933-1934_00149-20230218_112645.jpg	1933-1934	De Tooverfluit	31/12/1933	N/A	Dutch	N/A
0149_1933-1934_00150-20230218_112702.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0150_1933-1934_00151-20230218_112709.jpg	1933-1934	Het Land van den Glimlach	31/12/1933	gastvoorstelling H. Joachim Heinz	Dutch	N/A
0151_1933-1934_00152-20230218_112718.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0152_1933-1934_00153-20230218_112726.jpg	1933-1934	Madame Butterfly	2/1/1934	gastvoorstelling Helena Krinkels	Dutch	N/A
0153_1933-1934_00154-20230218_112736.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0154_1933-1934_00155-20230218_112745.jpg	1933-1934	Het Land van den Glimlach	4/1/1934	gastvoorstelling H. Joachim Heinz	Dutch	N/A
0155_1933-1934_00156-20230218_112754.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0156_1933-1934_00157-20230218_112802.jpg	1933-1934	Tannhäuser	6/1/1934	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0157_1933-1934_00158-20230218_112823.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
