Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0178_1940-1941_00178-20230303_122133.jpg	1940-1941	Cavalleria Rusticana + Paljas	1/3/1941	N/A	Dutch	N/A
0179_1940-1941_00179-20230303_122149.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0180_1940-1941_00180-20230303_122211.jpg	1940-1941	Traviata	2/3/1941	N/A	Dutch	N/A
0181_1940-1941_00181-20230303_122223.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0354_1940-1941_00354-20230310_143702.jpg	1940-1941	Het Meisje van Zaventem	2/3/1941	N/A	Dutch	N/A
0182_1940-1941_00182-20230303_122310.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0183_1940-1941_00183-20230303_122323.jpg	1940-1941	Cavalleria Rusticana + Paljas	6/3/1941	N/A	Dutch	N/A
0184_1940-1941_00184-20230303_122336.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0185_1940-1941_00185-20230303_122357.jpg	1940-1941	Fidelio	8/3/1941	N/A	Dutch	N/A
0186_1940-1941_00186-20230303_122408.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0187_1940-1941_00187-20230303_122425.jpg	1940-1941	Het Meisje van Zaventem	9/3/1941	N/A	Dutch	N/A
0188_1940-1941_00188-20230303_122439.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0189_1940-1941_00189-20230303_122455.jpg	1940-1941	Carmen	9/3/1941	N/A	Dutch	N/A
0190_1940-1941_00190-20230303_122510.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0191_1940-1941_00191-20230303_122521.jpg	1940-1941	Faust	13/3/1941	N/A	Dutch	N/A
0192_1940-1941_00192-20230303_122538.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0193_1940-1941_00193-20230303_122556.jpg	1940-1941	Quinten Massys	15/3/1941	Ter gelegenheid van de overhandiging van den Rembrandt-prijs aan Rafäel Verhulst	Dutch	N/A
0194_1940-1941_00194-20230303_122619.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0195_1940-1941_00195-20230303_122631.jpg	1940-1941	Martha	16/3/1941	N/A	Dutch	N/A
0196_1940-1941_00196-20230303_122645.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0197_1940-1941_00197-20230303_122654.jpg	1940-1941	Orpheus	16/3/1941	N/A	Dutch	N/A
0198_1940-1941_00198-20230303_122704.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0199_1940-1941_00199-20230303_122713.jpg	1940-1941	Carmen	20/3/1941	N/A	Dutch	N/A
0200_1940-1941_00200-20230303_122730.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0201_1940-1941_00201-20230303_122739.jpg	1940-1941	De Parelvisschers	22/3/1941	N/A	Dutch	N/A
0202_1940-1941_00202-20230303_122749.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0203_1940-1941_00203-20230303_122800.jpg	1940-1941	Aida	23/3/1941	N/A	Dutch	N/A
0204_1940-1941_00204-20230303_122817.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0205_1940-1941_00205-20230303_122825.jpg	1940-1941	Quinten Massys	23/3/1941	N/A	Dutch	N/A
0206_1940-1941_00206-20230303_122837.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0207_1940-1941_00207-20230303_122845.jpg	1940-1941	Rigoletto	24/3/1941	N/A	Dutch	N/A
0355_1940-1941_00355-20230310_143726.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0208_1940-1941_00208-20230303_122907.jpg	1940-1941	Traviata	27/3/1941	N/A	Dutch	N/A
0209_1940-1941_00209-20230303_122924.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0210_1940-1941_00210-20230303_122938.jpg	1940-1941	Romeo en Julia	29/3/1941	Eerste opvoering in België	Dutch	N/A
0211_1940-1941_00211-20230303_122950.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0212_1940-1941_00212-20230303_122958.jpg	1940-1941	Cavalleria Rusticana + Paljas	30/3/1941	N/A	Dutch	N/A
0213_1940-1941_00213-20230303_123010.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0214_1940-1941_00214-20230303_123025.jpg	1940-1941	Martha	30/3/1941	N/A	Dutch	N/A
0215_1940-1941_00215-20230303_123038.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0216_1940-1941_00216-20230303_123048.jpg	1940-1941	Orpheus	3/4/1941	N/A	Dutch	N/A
0217_1940-1941_00217-20230303_123059.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0218_1940-1941_00218-20230303_123114.jpg	1940-1941	Carmen	5/4/1941	N/A	Dutch	N/A
0219_1940-1941_00219-20230303_123134.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0220_1940-1941_00220-20230303_123142.jpg	1940-1941	Romeo en Julia	6/4/1941	N/A	Dutch	N/A
0221_1940-1941_00221-20230303_123153.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0222_1940-1941_00222-20230303_123202.jpg	1940-1941	De Parelvisschers	6/4/1941	N/A	Dutch	N/A
0223_1940-1941_00223-20230303_123212.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0224_1940-1941_00224-20230303_123221.jpg	1940-1941	Parsifal	11/4/1941	N/A	Dutch	N/A
0225_1940-1941_00225-20230303_123232.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0226_1940-1941_00226-20230303_123239.jpg	1940-1941	Traviata	12/4/1941	N/A	Dutch	N/A
0227_1940-1941_00227-20230303_123251.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0228_1940-1941_00228-20230303_123303.jpg	1940-1941	Madame Butterfly	13/4/1941	N/A	Dutch	N/A
0229_1940-1941_00229-20230303_123320.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0230_1940-1941_00230-20230303_123335.jpg	1940-1941	Romeo en Julia	13/4/1941	N/A	Dutch	N/A
0231_1940-1941_00231-20230303_123347.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0232_1940-1941_00232-20230303_123354.jpg	1940-1941	Romeo en Julia	17/4/1941	N/A	Dutch	N/A
0233_1940-1941_00233-20230303_123404.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0356_1940-1941_00356-20230310_143752.jpg	1940-1941	De Parelvisschers	19/4/1941	N/A	Dutch	N/A
0234_1940-1941_00234-20230303_123429.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0235_1940-1941_00235-20230303_123438.jpg	1940-1941	Faust	20/4/1941	N/A	Dutch	N/A
0236_1940-1941_00236-20230303_123450.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0237_1940-1941_00237-20230303_123458.jpg	1940-1941	Madame Butterfly	20/4/1941	N/A	Dutch	N/A
0238_1940-1941_00238-20230303_123511.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0239_1940-1941_00239-20230303_123519.jpg	1940-1941	Rigoletto	24/4/1941	N/A	Dutch	N/A
0240_1940-1941_00240-20230303_123529.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0241_1940-1941_00241-20230303_123543.jpg	1940-1941	De Vledermuis	26/4/1941	N/A	Dutch	N/A
0242_1940-1941_00242-20230303_123554.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0243_1940-1941_00243-20230303_123608.jpg	1940-1941	De Vledermuis	27/4/1941	N/A	Dutch	N/A
0244_1940-1941_00244-20230303_123620.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0245_1940-1941_00245-20230303_123629.jpg	1940-1941	Cavalleria Rusticana + Paljas	27/4/1941	N/A	Dutch	N/A
0246_1940-1941_00246-20230303_123642.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0247_1940-1941_00247-20230303_123650.jpg	1940-1941	Boheme	1/5/1941	N/A	Dutch	N/A
0248_1940-1941_00248-20230303_123707.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0249_1940-1941_00249-20230303_123714.jpg	1940-1941	Rigoletto	3/5/1941	N/A	Dutch	N/A
0250_1940-1941_00250-20230303_123725.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0251_1940-1941_00251-20230303_123740.jpg	1940-1941	De Vledermuis	4/5/1941	N/A	Dutch	N/A
0252_1940-1941_00252-20230303_123755.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0253_1940-1941_00253-20230303_123804.jpg	1940-1941	Martha	4/5/1941	N/A	Dutch	N/A
0254_1940-1941_00254-20230303_123817.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0255_1940-1941_00255-20230303_123825.jpg	1940-1941	Faust	6/5/1941	Afscheidsvoorstelling Eduard de Decker	Dutch	N/A
0256_1940-1941_00256-20230303_123843.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0257_1940-1941_00257-20230303_123900.jpg	1940-1941	De Parelvisschers	8/5/1941	N/A	Dutch	N/A
0258_1940-1941_00258-20230303_123911.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0357_1940-1941_00357-20230310_143810.jpg	1940-1941	Het Land van den Glimlach	10/5/1941	N/A	Dutch	N/A
0259_1940-1941_00259-20230303_123945.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0260_1940-1941_00260-20230303_123959.jpg	1940-1941	Traviata	11/5/1941	N/A	Dutch	N/A
0261_1940-1941_00261-20230303_124017.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0262_1940-1941_00262-20230303_124026.jpg	1940-1941	Het Land van den Glimlach	11/5/1941	N/A	Dutch	N/A
0263_1940-1941_00263-20230303_124037.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0264_1940-1941_00264-20230303_124046.jpg	1940-1941	Carmen	15/5/1941	N/A	Dutch	N/A
0265_1940-1941_00265-20230303_124059.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0266_1940-1941_00266-20230303_124109.jpg	1940-1941	Aida	17/5/1941	N/A	Dutch	N/A
0267_1940-1941_00267-20230303_124121.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0268_1940-1941_00268-20230303_124130.jpg	1940-1941	Het Land van den Glimlach	18/5/1941	N/A	Dutch	N/A
0269_1940-1941_00269-20230303_124140.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0270_1940-1941_00270-20230303_124236.jpg	1940-1941	Aida	18/5/1941	N/A	Dutch	N/A
0271_1940-1941_00271-20230303_124250.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0272_1940-1941_00272-20230303_124259.jpg	1940-1941	Het Land van den Glimlach	22/5/1941	N/A	Dutch	N/A
0273_1940-1941_00273-20230303_124311.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0274_1940-1941_00274-20230303_124320.jpg	1940-1941	Madame Butterfly	24/5/1941	N/A	Dutch	N/A
0275_1940-1941_00275-20230303_124331.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0276_1940-1941_00276-20230303_124344.jpg	1940-1941	Aida	25/5/1941	N/A	Dutch	N/A
0277_1940-1941_00277-20230303_124356.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0278_1940-1941_00278-20230303_124406.jpg	1940-1941	De Vledermuis	25/5/1941	N/A	Dutch	N/A
0279_1940-1941_00279-20230303_124417.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0280_1940-1941_00280-20230303_124428.jpg	1940-1941	Aida	29/5/1941	N/A	Dutch	N/A
0281_1940-1941_00281-20230303_124439.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0282_1940-1941_00282-20230303_124449.jpg	1940-1941	Boheme	31/5/1941	N/A	Dutch	N/A
0283_1940-1941_00283-20230303_124459.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0284_1940-1941_00284-20230303_124507.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0285_1940-1941_00285-20230303_124520.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0358_1940-1941_00358-20230310_144320.jpg	1940-1941	Aida	27/10/1940	N/A	German	N/A
0286_1940-1941_00286-20230303_124554.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0287_1940-1941_00287-20230303_124603.jpg	1940-1941	Die Bohème	2/11/1940	N/A	German	N/A
0288_1940-1941_00288-20230303_124615.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0289_1940-1941_00289-20230303_124624.jpg	1940-1941	Carmen	21/12/1940	N/A	German	N/A
0290_1940-1941_00290-20230303_124636.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0291_1940-1941_00291-20230303_124647.jpg	1940-1941	Cavalleria Rusticana + Der Bajazzo	1/3/1941	N/A	German	N/A
0292_1940-1941_00292-20230303_124700.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0293_1940-1941_00293-20230303_124710.jpg	1940-1941	Die Perlenfischer	8/5/1941	N/A	German	N/A
0294_1940-1941_00294-20230303_124719.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0295_1940-1941_00295-20230303_124731.jpg	1940-1941	Die Zauberflöte	20/10/1940	N/A	German	N/A
0296_1940-1941_00296-20230303_124742.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0297_1940-1941_00297-20230303_124809.jpg	1940-1941	Die Fledermaus	26/4/1941	N/A	German	N/A
0298_1940-1941_00298-20230303_124820.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0299_1940-1941_00299-20230303_124828.jpg	1940-1941	Die Walküre	14/12/1940	N/A	German	N/A
0300_1940-1941_00300-20230303_124840.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0301_1940-1941_00301-20230303_124849.jpg	1940-1941	Elschen Siebenschön	23/11/1940	N/A	German	N/A
0302_1940-1941_00302-20230303_124901.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0303_1940-1941_00303-20230303_124910.jpg	1940-1941	Faust	27/11/1940	N/A	German	N/A
0304_1940-1941_00304-20230303_124922.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0305_1940-1941_00305-20230303_124942.jpg	1940-1941	Fidelio	6/2/1941	N/A	German	N/A
0306_1940-1941_00306-20230303_124958.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0307_1940-1941_00307-20230303_125015.jpg	1940-1941	Das Land des Lächelns	12/12/1940	N/A	German	N/A
0308_1940-1941_00308-20230303_125026.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0309_1940-1941_00309-20230303_125051.jpg	1940-1941	Das Mädchen von Zaventem	2/3/1941	N/A	German	N/A
0310_1940-1941_00310-20230303_125101.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0311_1940-1941_00311-20230303_125116.jpg	1940-1941	Lohengrin	20/11/1940	N/A	German	N/A
0312_1940-1941_00312-20230303_125125.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0359_1940-1941_00359-20230310_144426.jpg	1940-1941	Madame Butterfly	1/12/1940	N/A	German	N/A
0313_1940-1941_00313-20230303_125200.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0314_1940-1941_00314-20230303_125226.jpg	1940-1941	Martha	18/1/1941	N/A	German	N/A
0315_1940-1941_00315-20230303_125237.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0316_1940-1941_00316-20230303_125254.jpg	1940-1941	Orpheus	4/1/1941	N/A	German	N/A
0317_1940-1941_00317-20230303_125302.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0318_1940-1941_00318-20230303_125313.jpg	1940-1941	Cavalleria Rusticana + Der Bajazzo	6/3/1941	N/A	German	N/A
0319_1940-1941_00319-20230303_125324.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0320_1940-1941_00320-20230303_125332.jpg	1940-1941	Parsifal	11/4/1941	N/A	German	N/A
0321_1940-1941_00321-20230303_125343.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0322_1940-1941_00322-20230303_125351.jpg	1940-1941	Prinzessin Sonnenschein	26/10/1940	N/A	German	N/A
0323_1940-1941_00323-20230303_125401.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0324_1940-1941_00324-20230303_125410.jpg	1940-1941	Quinten Massys	23/3/1941	N/A	German	N/A
0325_1940-1941_00325-20230303_125421.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0326_1940-1941_00326-20230303_125428.jpg	1940-1941	Rigoletto	28/12/1940	N/A	German	N/A
0327_1940-1941_00327-20230303_125439.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0328_1940-1941_00328-20230303_125505.jpg	1940-1941	Romeo und Julia	29/3/1941	Erstaufführung in Belgien	German	N/A
0329_1940-1941_00329-20230303_125515.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0330_1940-1941_00330-20230303_125521.jpg	1940-1941	Tannhäuser	16/11/1940	N/A	German	N/A
0331_1940-1941_00331-20230303_125532.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0332_1940-1941_00332-20230303_125537.jpg	1940-1941	Tosca	23/1/1941	N/A	German	N/A
0333_1940-1941_00333-20230303_125548.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0334_1940-1941_00334-20230303_125553.jpg	1940-1941	Traviata	5/12/1940	N/A	German	N/A
0335_1940-1941_00335-20230303_125602.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0336_1940-1941_00336-20230303_125607.jpg	1940-1941	Die Bohème	31/5/1941	N/A	German	N/A
0337_1940-1941_00337-20230303_125616.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0338_1940-1941_00338-20230303_125621.jpg	1940-1941	Aida	25/5/1941	N/A	German	N/A
0339_1940-1941_00339-20230303_125630.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0360_1940-1941_00360-20230310_144514.jpg	1940-1941	Die Fledermaus	25/5/1941	N/A	German	N/A
0340_1940-1941_00340-20230303_125651.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0341_1940-1941_00341-20230303_125700.jpg	1940-1941	Aida	29/5/1941	N/A	German	N/A
0342_1940-1941_00342-20230303_125708.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0343_1940-1941_00343-20230303_125717.jpg	1940-1941	Die Bohème	31/5/1941	N/A	German	N/A
0344_1940-1941_00344-20230303_125729.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0345_1940-1941_00345-20230303_125740.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0346_1940-1941_00346-20230303_125748.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0347_1940-1941_00347-20230303_125756.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0348_1940-1941_00348-20230303_125804.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0001_1940-1941 deel 2_00001-20230303_131359.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0002_1940-1941 deel 2_00002-20230303_131427.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0003_1940-1941 deel 2_00003-20230303_131437.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0004_1940-1941 deel 2_00004-20230303_131452.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0005_1940-1941 deel 2_00005-20230303_131500.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0006_1940-1941 deel 2_00006-20230303_131517.jpg	1940-1941	N/A	N/A	N/A	N/A	N/A
0007_1940-1941 deel 2_00007-20230303_131527.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0008_1940-1941 deel 2_00008-20230303_131626.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0009_1940-1941 deel 2_00009-20230303_131652.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0010_1940-1941 deel 2_00010-20230303_131718.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0011_1940-1941 deel 2_00011-20230303_131755.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0012_1940-1941 deel 2_00012-20230303_131825.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0013_1940-1941 deel 2_00013-20230303_131831.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0014_1940-1941 deel 2_00014-20230303_131904.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0015_1940-1941 deel 2_00015-20230303_131919.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0016_1940-1941 deel 2_00016-20230303_131953.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0017_1940-1941 deel 2_00017-20230303_132009.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0018_1940-1941 deel 2_00018-20230303_132023.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0019_1940-1941 deel 2_00019-20230303_132030.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0020_1940-1941 deel 2_00020-20230303_132049.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0021_1940-1941 deel 2_00021-20230303_132057.jpg	1940-1941	Aida	1/10/1940	Openingsvertooning	Dutch	N/A
0022_1940-1941 deel 2_00022-20230303_132112.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0023_1940-1941 deel 2_00023-20230303_132130.jpg	1940-1941	Het Land van den Glimlach	3/10/1940	N/A	Dutch	N/A
0024_1940-1941 deel 2_00024-20230303_132158.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0025_1940-1941 deel 2_00025-20230303_132216.jpg	1940-1941	Faust	5/10/1940	N/A	Dutch	N/A
0026_1940-1941 deel 2_00026-20230303_132238.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0027_1940-1941 deel 2_00027-20230303_132244.jpg	1940-1941	Het Land van den Glimlach	6/10/1940	N/A	Dutch	N/A
0028_1940-1941 deel 2_00028-20230303_132313.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0029_1940-1941 deel 2_00029-20230303_132320.jpg	1940-1941	Aida	6/10/1940	N/A	Dutch	N/A
0030_1940-1941 deel 2_00030-20230303_132340.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0031_1940-1941 deel 2_00031-20230303_132345.jpg	1940-1941	Faust	10/10/1940	N/A	Dutch	N/A
0032_1940-1941 deel 2_00032-20230303_132410.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0033_1940-1941 deel 2_00033-20230303_132417.jpg	1940-1941	Lohengrin	12/10/1940	N/A	Dutch	N/A
0034_1940-1941 deel 2_00034-20230303_132431.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0035_1940-1941 deel 2_00035-20230303_132437.jpg	1940-1941	Faust	13/10/1940	Was eerst Aida	Dutch	N/A
0036_1940-1941 deel 2_00036-20230303_132448.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0037_1940-1941 deel 2_00037-20230303_132507.jpg	1940-1941	Het Land van den Glimlach	13/10/1940	N/A	Dutch	N/A
0038_1940-1941 deel 2_00038-20230303_132529.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0039_1940-1941 deel 2_00039-20230303_132537.jpg	1940-1941	Aida	17/10/1940	N/A	Dutch	N/A
0040_1940-1941 deel 2_00040-20230303_132558.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0041_1940-1941 deel 2_00041-20230303_132605.jpg	1940-1941	De Tooverfluit	19/10/1940	N/A	Dutch	N/A
0042_1940-1941 deel 2_00042-20230303_132635.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0043_1940-1941 deel 2_00043-20230303_132642.jpg	1940-1941	Die Zauberflöte	19/10/1940	N/A	German	N/A
0044_1940-1941 deel 2_00044-20230303_132655.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0045_1940-1941 deel 2_00045-20230303_132702.jpg	1940-1941	De Tooverfluit	20/10/1940	N/A	Dutch	N/A
0046_1940-1941 deel 2_00046-20230303_132713.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0047_1940-1941 deel 2_00047-20230303_132720.jpg	1940-1941	Die Zauberflöte	20/10/1940	N/A	German	N/A
0048_1940-1941 deel 2_00048-20230303_132745.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0049_1940-1941 deel 2_00049-20230303_132755.jpg	1940-1941	Lohengrin	20/10/1940	N/A	Dutch	N/A
0050_1940-1941 deel 2_00050-20230303_132815.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0051_1940-1941 deel 2_00051-20230303_132828.jpg	1940-1941	Lohengrin	20/10/1940	N/A	German	N/A
0052_1940-1941 deel 2_00052-20230303_132842.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0053_1940-1941 deel 2_00053-20230303_133344.jpg	1940-1941	De Tooverfluit	24/10/1940	N/A	Dutch	N/A
0054_1940-1941 deel 2_00054-20230303_133432.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0055_1940-1941 deel 2_00055-20230303_133438.jpg	1940-1941	Die Zauberflöte	24/10/1940	N/A	German	N/A
0056_1940-1941 deel 2_00056-20230303_133626.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0057_1940-1941 deel 2_00057-20230303_133633.jpg	1940-1941	Prinses Zonneschijn	26/10/1940	N/A	Dutch	N/A
0058_1940-1941 deel 2_00058-20230303_133646.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0059_1940-1941 deel 2_00059-20230303_133659.jpg	1940-1941	Prinzessin Sonnenschein	26/10/1940	N/A	German	N/A
0060_1940-1941 deel 2_00060-20230303_133710.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0061_1940-1941 deel 2_00061-20230303_133716.jpg	1940-1941	Aida	27/10/1940	N/A	Dutch	N/A
0062_1940-1941 deel 2_00062-20230303_133725.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0063_1940-1941 deel 2_00063-20230303_133731.jpg	1940-1941	Aida	27/10/1940	N/A	German	N/A
0064_1940-1941 deel 2_00064-20230303_133742.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0065_1940-1941 deel 2_00065-20230303_133748.jpg	1940-1941	Faust	27/10/1940	N/A	Dutch	N/A
0066_1940-1941 deel 2_00066-20230303_133758.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0067_1940-1941 deel 2_00067-20230303_133820.jpg	1940-1941	Faust	27/10/1940	N/A	German	N/A
0068_1940-1941 deel 2_00068-20230303_133833.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0069_1940-1941 deel 2_00069-20230303_133856.jpg	1940-1941	Lohengrin	31/10/1940	N/A	Dutch	N/A
0070_1940-1941 deel 2_00070-20230303_133908.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0071_1940-1941 deel 2_00071-20230303_133915.jpg	1940-1941	Lohengrin	31/10/1940	N/A	German	N/A
0072_1940-1941 deel 2_00072-20230303_133927.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0073_1940-1941 deel 2_00073-20230303_133948.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0074_1940-1941 deel 2_00074-20230303_134001.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0075_1940-1941 deel 2_00075-20230303_134027.jpg	1940-1941	Boheme	2/11/1940	N/A	Dutch	N/A
0076_1940-1941 deel 2_00076-20230303_134038.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
0077_1940-1941 deel 2_00077-20230303_134045.jpg	1940-1941	Die Bohème	2/11/1940	N/A	German	N/A
0078_1940-1941 deel 2_00078-20230303_134057.jpg	1940-1941	N/A	N/A	N/A	German	N/A
0079_1940-1941 deel 2_00079-20230303_134104.jpg	1940-1941	Lohengrin	3/11/1940	N/A	Dutch	N/A
0080_1940-1941 deel 2_00080-20230303_134115.jpg	1940-1941	N/A	N/A	N/A	Dutch	N/A
