,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
1396,1937-1938_00059-20230218_162129.jpg,1937-1938,Lohengrin,1937-11-07,,Dutch,,False,769152,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1398,1937-1938_00061-20230218_162144.jpg,1937-1938,Walsdroom,1937-11-07,,Dutch,,False,964244,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1400,1937-1938_00063-20230218_162209.jpg,1937-1938,Het Arendsnest,1937-11-09,gala,Dutch,,True,684377,Het Arendsnest,NL,Schrey Julius Jan Baptist,1904,Het Arendsnest,zangspel,NL,1937-1938
1401,1937-1938_00063-20230218_162209.jpg,1937-1938,In memoriam,1937-11-09,gala,Dutch,,True,684377,In memoriam,NL,Lodewijk Mortelmans,1937,In memoriam,in memoriam,NL,1937-1938
1402,1937-1938_00063-20230218_162209.jpg,1937-1938,Tannhäuser,1937-11-09,gala,Dutch,,True,684377,Tannhäuser,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1404,1937-1938_00065-20230218_162233.jpg,1937-1938,De Rozenkavalier,1937-11-11,,Dutch,,False,982057,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1406,1937-1938_00067-20230218_162254.jpg,1937-1938,Walsdroom,1937-11-13,,Dutch,,False,554422,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1408,1937-1938_00069-20230218_162309.jpg,1937-1938,Carmen,1937-11-14,,Dutch,,False,198004,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1410,1937-1938_00071-20230218_162326.jpg,1937-1938,De Vledermuis,1937-11-14,,Dutch,,False,683960,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1412,1937-1938_00073-20230218_162342.jpg,1937-1938,Lohengrin,1937-11-16,GAKVO-gala,Dutch,,False,629439,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1414,1937-1938_00075-20230218_162357.jpg,1937-1938,Walsdroom,1937-11-18,,Dutch,,False,662015,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1416,1937-1938_00310-20230310_141424.jpg,1937-1938,Boheme,1937-11-20,,Dutch,,True,857250,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1937-1938
1417,1937-1938_00310-20230310_141424.jpg,1937-1938,De Verzoeking van den Dichter,1937-11-20,,Dutch,,True,857250,De Verzoeking van den Dichter,N/A,August de Boeck,1937,De Verzoeking van den Dichter,ballet,NL,1937-1938
1419,1937-1938_00078-20230218_162532.jpg,1937-1938,De Rozenkavalier,1937-11-21,,Dutch,,False,636011,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1937-1938
1421,1937-1938_00080-20230218_162612.jpg,1937-1938,Boheme,1937-11-21,,Dutch,,False,496583,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1937-1938
1423,1937-1938_00082-20230218_162646.jpg,1937-1938,Lohengrin,1937-11-23,gala,Dutch,,False,887161,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1425,1937-1938_00084-20230218_162720.jpg,1937-1938,Boheme,1937-11-25,,Dutch,,True,735541,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1937-1938
1426,1937-1938_00084-20230218_162720.jpg,1937-1938,De Verzoeking van den Dichter,1937-11-25,,Dutch,,True,735541,De Verzoeking van den Dichter,N/A,August de Boeck,1937,De Verzoeking van den Dichter,ballet,NL,1937-1938
1428,1937-1938_00086-20230218_162736.jpg,1937-1938,Vikings,1937-11-27,gala,Dutch,,True,413762,Vikings,NL,Arthur Meulemans,1937,Vikings,opera,NL,1937-1938
1429,1937-1938_00086-20230218_162736.jpg,1937-1938,Pan,1937-11-27,gala,Dutch,,True,413762,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,Unk,1937-1938
1431,1937-1938_00088-20230218_162751.jpg,1937-1938,De Vledermuis,1937-11-28,,Dutch,,False,854310,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1433,1937-1938_00090-20230218_162809.jpg,1937-1938,Vikings,1937-11-28,,Dutch,,True,471828,Vikings,NL,Arthur Meulemans,1937,Vikings,opera,NL,1937-1938
1434,1937-1938_00090-20230218_162809.jpg,1937-1938,Pan,1937-11-28,,Dutch,,True,471828,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,Unk,1937-1938
1436,1937-1938_00092-20230218_162825.jpg,1937-1938,Lakmé,1937-11-30,,Dutch,,False,761283,Lakme,FR,Léo Delibes,1883,Lakmé,romanische opera,Unk,1937-1938
1438,1937-1938_00094-20230218_162844.jpg,1937-1938,Aïda,1937-12-02,,Dutch,,False,316991,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1440,1937-1938_00096-20230218_162910.jpg,1937-1938,De Vledermuis,1937-12-04,,Dutch,,False,204549,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1937-1938
1442,1937-1938_00098-20230218_162927.jpg,1937-1938,Boheme,1937-12-05,,Dutch,,True,428312,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1937-1938
1443,1937-1938_00098-20230218_162927.jpg,1937-1938,Pan,1937-12-05,,Dutch,,True,428312,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,Unk,1937-1938
1445,1937-1938_00100-20230218_162950.jpg,1937-1938,Aïda,1937-12-05,,Dutch,,False,411081,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1447,1937-1938_00311-20230310_141446.jpg,1937-1938,Schwarzschwanenreich,1937-12-07,GAKVO-gala,Dutch,,False,790895,Schwarzschwanenreich,DUI,Siegfried Wagner,1918,Schwarzschwanenreich,romantische oper,DUI,1937-1938
1449,1937-1938_00103-20230218_163031.jpg,1937-1938,Walsdroom,1937-12-09,,Dutch,,False,772350,Ein Walzertraum,DUI,Oscar Straus,1907,Ein Walzertraum,operetta,DUI,1937-1938
1451,1937-1938_00105-20230218_163047.jpg,1937-1938,Paganini,1937-12-11,,Dutch,,False,621483,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1937-1938
1453,1937-1938_00107-20230218_163113.jpg,1937-1938,Vikings,1937-12-12,,Dutch,,True,896461,Vikings,NL,Arthur Meulemans,1937,Vikings,opera,NL,1937-1938
1454,1937-1938_00107-20230218_163113.jpg,1937-1938,De Verzoeking van den Dichter,1937-12-12,,Dutch,,True,896461,De Verzoeking van den Dichter,N/A,August de Boeck,1937,De Verzoeking van den Dichter,ballet,NL,1937-1938
1456,1937-1938_00109-20230218_163129.jpg,1937-1938,Carmen,1937-12-12,,Dutch,,False,436335,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1458,1937-1938_00111-20230218_163148.jpg,1937-1938,Het Driemeisjeshuis,1937-12-14,gala,Dutch,,False,273438,Driemeisjeshuis,DUI,Heinrich Berté,1916,Das Dreimäderlhaus,leichte oper,NL,1937-1938
1460,1937-1938_00113-20230218_163216.jpg,1937-1938,Vikings,1937-12-16,,Dutch,,True,510918,Vikings,NL,Arthur Meulemans,1937,Vikings,opera,NL,1937-1938
1461,1937-1938_00113-20230218_163216.jpg,1937-1938,De Verzoeking van den Dichter,1937-12-16,,Dutch,,True,510918,De Verzoeking van den Dichter,N/A,August de Boeck,1937,De Verzoeking van den Dichter,ballet,NL,1937-1938
1463,1937-1938_00115-20230218_163233.jpg,1937-1938,Lohengrin,1937-12-18,,Dutch,,False,524334,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1937-1938
1465,1937-1938_00117-20230218_163251.jpg,1937-1938,Aïda,1937-12-19,,Dutch,,False,436941,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1937-1938
1467,1937-1938_00119-20230218_163308.jpg,1937-1938,Paganini,1937-12-19,,Dutch,,False,149443,Paganini,DUI,Franz Lehár,1925,Paganini,operetta,Unk,1937-1938
1469,1937-1938_00121-20230218_163323.jpg,1937-1938,Salome,1937-12-21,GAKVO-gala,Dutch,,True,881845,Salome,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1470,1937-1938_00121-20230218_163323.jpg,1937-1938,Pan,1937-12-21,GAKVO-gala,Dutch,,True,881845,Pan,FR,Maurits Schoemaker,1937,Pan,ballet,Unk,1937-1938
