,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
2869,1939-1940_00268-20230310_143357.jpg,1939-1940,Hoffman’s Vertellingen,1940-04-21,,Dutch,,False,338616,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1939-1940
2871,1939-1940_00244-20230303_112626.jpg,1939-1940,De Graaf van Luxemburg,1940-04-21,,Dutch,,False,527970,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1939-1940
2873,1939-1940_00246-20230303_112649.jpg,1939-1940,De Graaf van Luxemburg,1940-04-25,,Dutch,,False,299482,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1939-1940
2875,1939-1940_00248-20230303_112717.jpg,1939-1940,Zwarte Viooltjes,1940-04-27,,Dutch,,False,672905,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1939-1940
2877,1939-1940_00250-20230303_112740.jpg,1939-1940,De Graaf van Luxemburg,1940-04-28,,Dutch,,False,412153,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,NL,1939-1940
2879,1939-1940_00252-20230303_112756.jpg,1939-1940,Herodias,1940-04-28,,Dutch,,False,704611,Herodias,FR,Jules Massenet,1882,Hérodiade,romantische opera,Unk,1939-1940
2881,1939-1940_00254-20230303_112815.jpg,1939-1940,Concert,1940-04-29,Sluitingsavond gewijd aan werken van Peter Benoit en Edward Keurvels,Dutch,,False,171115,Concert,?,?,?,?,concert,NL,1939-1940
2895,0349_1940-1941_00349-20230310_143500.jpg,1940-1941,Aida,1940-10-01,Openingsvertooning,Dutch,,False,898319,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
2897,0009_1940-1941_00009-20230303_114036.jpg,1940-1941,Het Land van den Glimlach,1940-10-03,,Dutch,,False,759675,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
2899,0011_1940-1941_00011-20230303_114124.jpg,1940-1941,Faust,1940-10-05,,Dutch,,False,262710,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2901,0013_1940-1941_00013-20230303_114143.jpg,1940-1941,Het Land van den Glimlach,1940-10-06,,Dutch,,False,181689,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
2903,0015_1940-1941_00015-20230303_114204.jpg,1940-1941,Aida,1940-10-06,,Dutch,,False,828032,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
2905,0017_1940-1941_00017-20230303_114221.jpg,1940-1941,Faust,1940-10-10,,Dutch,,False,384515,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2907,0019_1940-1941_00019-20230303_114236.jpg,1940-1941,Lohengrin,1940-10-12,,Dutch,,False,486511,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1940-1941
2909,0021_1940-1941_00021-20230303_114305.jpg,1940-1941,Faust,1940-10-13,,Dutch,,False,205944,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2911,0023_1940-1941_00023-20230303_114330.jpg,1940-1941,Het Land van den Glimlach,1940-10-13,,Dutch,,False,518743,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
2913,0025_1940-1941_00025-20230303_114346.jpg,1940-1941,Aida,1940-10-17,,Dutch,,False,234952,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
2915,0027_1940-1941_00027-20230303_114407.jpg,1940-1941,De Tooverfluit,1940-10-19,,Dutch,,False,481216,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1940-1941
2917,0029_1940-1941_00029-20230303_114428.jpg,1940-1941,De Tooverfluit,1940-10-20,,Dutch,,False,761573,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1940-1941
2919,0031_1940-1941_00031-20230303_114447.jpg,1940-1941,Lohengrin,1940-10-20,,Dutch,,False,245831,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1940-1941
2921,0033_1940-1941_00033-20230303_114526.jpg,1940-1941,De Tooverfluit,1940-10-14,,Dutch,,False,661257,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1940-1941
2925,0036_1940-1941_00036-20230303_114653.jpg,1940-1941,Aida,1940-10-27,,Dutch,,False,487331,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
2927,0038_1940-1941_00038-20230303_114730.jpg,1940-1941,Faust,1940-10-27,,Dutch,,False,745302,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2929,0040_1940-1941_00040-20230303_114817.jpg,1940-1941,Lohengrin,1940-10-31,,Dutch,,False,333708,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1940-1941
2931,0042_1940-1941_00042-20230303_114836.jpg,1940-1941,Boheme,1940-11-02,,Dutch,,False,772179,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1940-1941
2933,0044_1940-1941_00044-20230303_114858.jpg,1940-1941,Lohengrin,1940-11-03,,Dutch,,False,680446,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1940-1941
2935,0046_1940-1941_00046-20230303_114932.jpg,1940-1941,Prinses Zonneschijn,1940-11-03,,Dutch,,False,262573,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,NL,1940-1941
2937,0048_1940-1941_00048-20230303_115008.jpg,1940-1941,Prinses Zonneschijn,1940-11-07,,Dutch,,False,824023,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,NL,1940-1941
2939,0050_1940-1941_00050-20230303_115041.jpg,1940-1941,Faust,1940-11-09,,Dutch,,False,159063,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2941,0052_1940-1941_00052-20230303_115112.jpg,1940-1941,Prinses Zonneschijn,1940-11-10,,Dutch,,False,552098,Prinses Zonneschijn,NL,Paul Gilson,1903,Prinses Zonneschijn,operetta,NL,1940-1941
2943,0054_1940-1941_00054-20230303_115156.jpg,1940-1941,Boheme,1940-11-10,,Dutch,,False,554067,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1940-1941
2945,0056_1940-1941_00056-20230303_115228.jpg,1940-1941,Die Walküre,1940-11-12,gastvoorstelling Oper der Hansestadt Köln,German,,False,784409,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1940-1941
2947,0058_1940-1941_00058-20230303_115251.jpg,1940-1941,Boheme,1940-11-14,,Dutch,,False,447148,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1940-1941
2949,0060_1940-1941_00060-20230303_115327.jpg,1940-1941,Tannhäuser,1940-11-16,,Dutch,,False,800831,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1940-1941
2951,0062_1940-1941_00062-20230303_115409.jpg,1940-1941,De Tooverfluit,1940-11-17,,Dutch,,False,962305,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1940-1941
2953,0064_1940-1941_00064-20230303_115434.jpg,1940-1941,Tannhäuser,1940-11-21,,Dutch,,False,940148,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1940-1941
2955,0067_1940-1941_00067-20230303_115552.jpg,1940-1941,Elsje Zevenschoon,1940-11-23,,Dutch,,False,624992,Elsje Zevenschoon,NL,Mario Van Overeem,1913,Elsje Zevenschoon,zangspel,NL,1940-1941
2957,0069_1940-1941_00069-20230303_115632.jpg,1940-1941,Boheme,1940-11-24,,Dutch,,False,247349,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1940-1941
2959,0071_1940-1941_00071-20230303_115706.jpg,1940-1941,Tannhäuser,1940-11-24,,Dutch,,False,516495,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1940-1941
2961,0073_1940-1941_00073-20230303_115730.jpg,1940-1941,Madame Butterfly,1940-11-28,,Dutch,,False,751024,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
2963,0075_1940-1941_00075-20230303_115803.jpg,1940-1941,Aida,1940-11-30,,Dutch,,False,686606,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
2965,0077_1940-1941_00077-20230303_115825.jpg,1940-1941,Madame Butterfly,1940-12-01,,Dutch,,False,675385,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
2967,0079_1940-1941_00079-20230303_115905.jpg,1940-1941,Faust,1940-12-01,,Dutch,,False,822669,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
2969,0081_1940-1941_00081-20230303_115945.jpg,1940-1941,Traviata,1940-12-05,,Dutch,,False,601350,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
2971,0083_1940-1941_00083-20230303_120011.jpg,1940-1941,Madame Butterfly,1940-12-07,,Dutch,,False,776084,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
2973,0085_1940-1941_00085-20230303_120031.jpg,1940-1941,Tannhäuser,1940-12-08,,Dutch,,False,230613,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,Unk,1940-1941
2975,0087_1940-1941_00087-20230303_120108.jpg,1940-1941,Traviata,1940-12-08,,Dutch,,False,549725,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
2977,0351_1940-1941_00351-20230310_143548.jpg,1940-1941,Het Land van den Glimlach,1940-12-12,,Dutch,,False,722583,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
2979,0090_1940-1941_00090-20230303_120220.jpg,1940-1941,De Walkure,1940-12-14,,Dutch,,False,255708,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1940-1941
2981,0092_1940-1941_00092-20230303_120242.jpg,1940-1941,Traviata,1940-12-15,,Dutch,,False,404945,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
2983,0094_1940-1941_00094-20230303_120319.jpg,1940-1941,Het Land van den Glimlach,1940-12-15,,Dutch,,False,880208,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
2985,0096_1940-1941_00096-20230303_120349.jpg,1940-1941,Fidelio,1940-12-19,gastvoorstelling Oper von Düsseldorf,German,,False,391363,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1940-1941
2987,0098_1940-1941_00098-20230303_120419.jpg,1940-1941,Carmen,1940-12-21,,Dutch,,False,311117,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
2989,0100_1940-1941_00100-20230303_120437.jpg,1940-1941,Madame Butterfly,1940-12-22,,Dutch,,False,699934,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
2991,0102_1940-1941_00102-20230303_120458.jpg,1940-1941,De Walkure,1940-12-22,Eerste dag van het Tooneelfeestspel “De Ring Des Nevelings”,Dutch,,False,307403,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1940-1941
2993,0104_1940-1941_00104-20230303_120529.jpg,1940-1941,Carmen,1940-12-26,,Dutch,,False,902658,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
2995,0106_1940-1941_00106-20230303_120619.jpg,1940-1941,Rigoletto,1940-12-28,,Dutch,,False,729896,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
2997,0108_1940-1941_00108-20230303_120647.jpg,1940-1941,De Walkure,1940-12-29,Eerste dag van het Tooneelfeestspel “De Ring Des Nevelings”,Dutch,,False,170599,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,NL,1940-1941
2999,0110_1940-1941_00110-20230303_120717.jpg,1940-1941,Madame Butterfly,1940-12-29,,Dutch,,False,306026,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
3001,0112_1940-1941_00112-20230303_120750.jpg,1940-1941,Boheme,1941-01-02,,Dutch,,False,929331,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1940-1941
3003,0352_1940-1941_00352-20230310_143613.jpg,1940-1941,Orpheus,1941-01-04,,Dutch,,False,304427,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,NL,1940-1941
3005,0115_1940-1941_00115-20230303_120858.jpg,1940-1941,Carmen,1941-01-05,,Dutch,,False,607649,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3007,0117_1940-1941_00117-20230303_120928.jpg,1940-1941,Rigoletto,1941-01-05,,Dutch,,False,547475,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
3009,0119_1940-1941_00119-20230303_120947.jpg,1940-1941,Rigoletto,1941-01-09,,Dutch,,False,463625,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
3011,0121_1940-1941_00121-20230303_121006.jpg,1940-1941,Traviata,1941-01-11,,Dutch,,False,421908,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
3013,0123_1940-1941_00123-20230303_121027.jpg,1940-1941,Orpheus,1941-01-12,,Dutch,,False,466481,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,NL,1940-1941
3015,0125_1940-1941_00125-20230303_121047.jpg,1940-1941,Carmen,1941-01-12,,Dutch,,False,534497,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3017,0127_1940-1941_00127-20230303_121105.jpg,1940-1941,Faust,1941-01-16,,Dutch,,False,841973,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
3019,0129_1940-1941_00130-20230303_121132.jpg,1940-1941,Figaros Hochzeit,1941-01-17,gastvoorstelling Bühnen der Hansestadt Köln,German,,False,541935,Figaro’s Bruiloft,N/A,N/A,N/A,N/A,N/A,N/A,1940-1941
3021,0131_1940-1941_00131-20230303_121302.jpg,1940-1941,Martha,1941-01-18,,Dutch,,False,481322,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3023,0133_1940-1941_00133-20230303_121324.jpg,1940-1941,Rigoletto,1941-01-19,,Dutch,,False,694717,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
3025,0135_1940-1941_00135-20230303_121347.jpg,1940-1941,Orpheus,1941-01-19,,Dutch,,False,540024,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,NL,1940-1941
3027,0137_1940-1941_00137-20230303_121405.jpg,1940-1941,Tosca,1941-01-23,,Dutch,,False,974052,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1940-1941
3029,0139_1940-1941_00139-20230303_121423.jpg,1940-1941,Het Land van den Glimlach,1941-01-25,,Dutch,,False,788457,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1940-1941
3031,0141_1940-1941_00141-20230303_121440.jpg,1940-1941,Martha,1941-01-26,,Dutch,,False,843858,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3033,0143_1940-1941_00143-20230303_121457.jpg,1940-1941,Tosca,1941-01-16,,Dutch,,False,477629,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1940-1941
3035,0145_1940-1941_00145-20230303_121514.jpg,1940-1941,Madame Butterfly,1941-01-30,,Dutch,,False,648344,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
3037,0147_1940-1941_00147-20230303_121537.jpg,1940-1941,Aida,1941-02-01,,Dutch,,False,157140,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
3039,0149_1940-1941_00149-20230303_121605.jpg,1940-1941,Tosca,1941-02-02,,Dutch,,False,175140,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1940-1941
3041,0151_1940-1941_00151-20230303_121635.jpg,1940-1941,Martha,1941-02-02,,Dutch,,False,683062,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3043,0153_1940-1941_00153-20230303_121650.jpg,1940-1941,Fidelio,1941-02-06,,Dutch,,False,485524,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1940-1941
3045,0155_1940-1941_00155-20230303_121712.jpg,1940-1941,Tosca,1941-02-08,,Dutch,,False,839105,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1940-1941
3047,0156_1940-1941_00156-20230303_121735.jpg,1940-1941,Elsje Zevenschoon,1941-02-09,,Dutch,,False,112593,Elsje Zevenschoon,NL,Mario Van Overeem,1913,Elsje Zevenschoon,zangspel,NL,1940-1941
3049,0158_1940-1941_00158-20230303_121754.jpg,1940-1941,Fidelio,1941-02-09,,Dutch,,False,249980,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1940-1941
3051,0160_1940-1941_00160-20230303_121812.jpg,1940-1941,Martha,1941-02-13,,Dutch,,False,294756,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3053,0162_1940-1941_00162-20230303_121832.jpg,1940-1941,Het Meisje van Zaventem,1941-02-15,,Dutch,,False,560790,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,NL,1940-1941
3055,0164_1940-1941_00164-20230303_121853.jpg,1940-1941,Fidelio,1941-02-16,,Dutch,,False,100438,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1940-1941
3057,0166_1940-1941_00166-20230303_121909.jpg,1940-1941,Elsje Zevenschoon,1941-02-16,,Dutch,,False,376616,Elsje Zevenschoon,NL,Mario Van Overeem,1913,Elsje Zevenschoon,zangspel,NL,1940-1941
3059,0168_1940-1941_00168-20230303_121934.jpg,1940-1941,De Parelvisschers,1941-02-20,,Dutch,,False,489865,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1940-1941
3061,0170_1940-1941_00170-20230303_121953.jpg,1940-1941,Carmen,1941-02-22,,Dutch,,False,326597,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3063,0172_1940-1941_00172-20230303_122014.jpg,1940-1941,De Parelvisschers,1941-02-23,,Dutch,,False,211626,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1940-1941
3065,0174_1940-1941_00174-20230303_122036.jpg,1940-1941,Aida,1941-02-23,,Dutch,,False,232316,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
3067,0176_1940-1941_00176-20230303_122056.jpg,1940-1941,Die Fledermaus,1941-02-27,gastvoorstelling der Stadtischen Bühnen Dusseldorf,German,,False,826619,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1940-1941
3069,0178_1940-1941_00178-20230303_122133.jpg,1940-1941,Cavalleria Rusticana,1941-03-01,,Dutch,,True,204801,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1940-1941
3070,0178_1940-1941_00178-20230303_122133.jpg,1940-1941,Paljas,1941-03-01,,Dutch,,True,204801,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1940-1941
3072,0180_1940-1941_00180-20230303_122211.jpg,1940-1941,Traviata,1941-03-02,,Dutch,,False,569709,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
3074,0354_1940-1941_00354-20230310_143702.jpg,1940-1941,Het Meisje van Zaventem,1941-03-02,,Dutch,,False,113425,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,NL,1940-1941
3076,0183_1940-1941_00183-20230303_122323.jpg,1940-1941,Cavalleria Rusticana,1941-03-06,,Dutch,,True,442130,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1940-1941
3077,0183_1940-1941_00183-20230303_122323.jpg,1940-1941,Paljas,1941-03-06,,Dutch,,True,442130,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1940-1941
3079,0185_1940-1941_00185-20230303_122357.jpg,1940-1941,Fidelio,1941-03-08,,Dutch,,False,800716,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,Unk,1940-1941
3081,0187_1940-1941_00187-20230303_122425.jpg,1940-1941,Het Meisje van Zaventem,1941-03-09,,Dutch,,False,177565,Het Meisje van Zaventem,NL,Emile Hullebroeck,1934,Het Meisje van Zaventem,zangspel,NL,1940-1941
3083,0189_1940-1941_00189-20230303_122455.jpg,1940-1941,Carmen,1941-03-09,,Dutch,,False,591696,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3085,0191_1940-1941_00191-20230303_122521.jpg,1940-1941,Faust,1941-03-13,,Dutch,,False,440050,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
3087,0193_1940-1941_00193-20230303_122556.jpg,1940-1941,Quinten Massys,1941-03-15,Ter gelegenheid van de overhandiging van den Rembrandt-prijs aan Rafäel Verhulst,Dutch,,False,430614,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1940-1941
3089,0195_1940-1941_00195-20230303_122631.jpg,1940-1941,Martha,1941-03-16,,Dutch,,False,908554,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3091,0197_1940-1941_00197-20230303_122654.jpg,1940-1941,Orpheus,1941-03-16,,Dutch,,False,189090,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,NL,1940-1941
3093,0199_1940-1941_00199-20230303_122713.jpg,1940-1941,Carmen,1941-03-20,,Dutch,,False,672401,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3095,0201_1940-1941_00201-20230303_122739.jpg,1940-1941,De Parelvisschers,1941-03-22,,Dutch,,False,413226,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1940-1941
3097,0203_1940-1941_00203-20230303_122800.jpg,1940-1941,Aida,1941-03-23,,Dutch,,False,386638,Aïda,ITA,Giuseppe Verdi,1872,Aïda,opera,Unk,1940-1941
3099,0205_1940-1941_00205-20230303_122825.jpg,1940-1941,Quinten Massys,1941-03-23,,Dutch,,False,985415,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1940-1941
3101,0207_1940-1941_00207-20230303_122845.jpg,1940-1941,Rigoletto,1941-03-24,,Dutch,,False,691029,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
3103,0208_1940-1941_00208-20230303_122907.jpg,1940-1941,Traviata,1941-03-27,,Dutch,,False,218975,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
3105,0210_1940-1941_00210-20230303_122938.jpg,1940-1941,Romeo en Julia,1941-03-29,Eerste opvoering in België,Dutch,,False,584453,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1940-1941
3107,0212_1940-1941_00212-20230303_122958.jpg,1940-1941,Cavalleria Rusticana,1941-03-30,,Dutch,,True,370680,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1940-1941
3108,0212_1940-1941_00212-20230303_122958.jpg,1940-1941,Paljas,1941-03-30,,Dutch,,True,370680,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1940-1941
3110,0214_1940-1941_00214-20230303_123025.jpg,1940-1941,Martha,1941-03-30,,Dutch,,False,122792,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,Unk,1940-1941
3112,0216_1940-1941_00216-20230303_123048.jpg,1940-1941,Orpheus,1941-04-03,,Dutch,,False,545259,Orpheus' Dood,FR,Jacques Offenbach,1858,Orphée aux enfers,operetta,NL,1940-1941
3114,0218_1940-1941_00218-20230303_123114.jpg,1940-1941,Carmen,1941-04-05,,Dutch,,False,545300,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1940-1941
3116,0220_1940-1941_00220-20230303_123142.jpg,1940-1941,Romeo en Julia,1941-04-06,,Dutch,,False,958104,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1940-1941
3118,0222_1940-1941_00222-20230303_123202.jpg,1940-1941,De Parelvisschers,1941-04-06,,Dutch,,False,806071,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1940-1941
3120,0224_1940-1941_00224-20230303_123221.jpg,1940-1941,Parsifal,1941-04-11,,Dutch,,False,871500,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,Unk,1940-1941
3122,0226_1940-1941_00226-20230303_123239.jpg,1940-1941,Traviata,1941-04-12,,Dutch,,False,136970,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1940-1941
3124,0228_1940-1941_00228-20230303_123303.jpg,1940-1941,Madame Butterfly,1941-04-13,,Dutch,,False,905861,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
3126,0230_1940-1941_00230-20230303_123335.jpg,1940-1941,Romeo en Julia,1941-04-13,,Dutch,,False,176154,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1940-1941
3128,0232_1940-1941_00232-20230303_123354.jpg,1940-1941,Romeo en Julia,1941-04-17,,Dutch,,False,462074,Romeo en Julia,TSJ,Pyotr Tchaikovsky,1870,Ромео и Джульетта,romantische opera,NL,1940-1941
3130,0356_1940-1941_00356-20230310_143752.jpg,1940-1941,De Parelvisschers,1941-04-19,,Dutch,,False,291901,De Parelvisschers,FR,Georges Bizet,1863,Les pêcheurs de perles,romantische opera,NL,1940-1941
3132,0235_1940-1941_00235-20230303_123438.jpg,1940-1941,Faust,1941-04-20,,Dutch,,False,210474,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1940-1941
3134,0237_1940-1941_00237-20230303_123458.jpg,1940-1941,Madame Butterfly,1941-04-20,,Dutch,,False,420727,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1940-1941
3136,0239_1940-1941_00239-20230303_123519.jpg,1940-1941,Rigoletto,1941-04-24,,Dutch,,False,588446,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1940-1941
3138,0241_1940-1941_00241-20230303_123543.jpg,1940-1941,De Vledermuis,1941-04-26,,Dutch,,False,743956,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,NL,1940-1941
