,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
36,K.V.O. programmas 1893-97_00085-20211201_114719.jpg,1893-1897,De Vrijschutter,1894-02-13,Ter benificie van Mej. Maria Levering,False,173764,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
37,K.V.O. programmas 1893-97_00087-20211201_114747.jpg,1893-1897,De Vliegende Hollander,1894-02-15,,False,883487,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
38,K.V.O. programmas 1893-97_00091-20211201_114827.jpg,1893-1897,Mellusina,1894-02-23,Eerste vertoning,False,948356,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
39,K.V.O. programmas 1893-97_00093-20211201_114845.jpg,1893-1897,De Vliegende Hollander,1894-02-27,Ter benificie van Albert Baets,False,821106,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
40,K.V.O. programmas 1893-97_00095-20211201_114902.jpg,1893-1897,Mellusina,1894-03-01,,False,802817,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
41,K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-06,,False,660155,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
42,K.V.O. programmas 1893-97_00097-20211201_114923.jpg,1893-1897,Mellusina,1894-03-08,,False,800175,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
43,K.V.O. programmas 1893-97_00099-20211201_114946.jpg,1893-1897,De Vliegende Hollander,1894-03-13,Gala-vertoning,False,407063,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
44,K.V.O. programmas 1893-97_00101-20211201_115002.jpg,1893-1897,Mellusina,1894-03-15,,False,565536,Mellusina,NL,Emiel Wambach,?,Mellusina. Een Lentedroom,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
45,K.V.O. programmas 1893-97_00103-20211201_115027.jpg,1893-1897,De Vliegende Hollander,1894-03-17,,False,692569,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
46,K.V.O. programmas 1893-97_00105-20211201_115046.jpg,1893-1897,De Vliegende Hollander,1894-03-20,,False,303557,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
