Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
1924-1925_00097-20220207_163134.jpg,1924-1925,Ilka,30/10/1924,,FALSE,667392,Ilka,NL,Léopold Samuel,1919,Ilka,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00099-20220207_163154.jpg,1924-1925,De Doode Oogen,01/11/1924,,TRUE,326505,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00099-20220207_163154.jpg,1924-1925,Zooals Voorheen,01/11/1924,,TRUE,326505,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00101-20220207_163211.jpg,1924-1925,Rijngoud,02/11/1924,,FALSE,490040,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00103-20220207_163225.jpg,1924-1925,Quinten Massijs,02/11/1924,In memoriam Meester Emiel Wambach,TRUE,924145,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00103-20220207_163225.jpg,1924-1925,Zooals Voorheen,02/11/1924,In memoriam Meester Emiel Wambach,TRUE,924145,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00105-20220207_163243.jpg,1924-1925,Quinten Massijs,04/11/1924,,TRUE,895325,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00105-20220207_163243.jpg,1924-1925,Zooals Voorheen,04/11/1924,,TRUE,895325,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00107-20220207_163258.jpg,1924-1925,Herbergprinses,06/11/1924,,FALSE,369832,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00111-20220207_163323.jpg,1924-1925,Quinten Massijs,09/11/1924,,FALSE,508391,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00113-20220207_163333.jpg,1924-1925,Rijngoud,09/11/1924,,FALSE,913787,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00115-20220207_163400.jpg,1924-1925,Carmen,11/11/1924,,FALSE,405529,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00117-20220207_163413.jpg,1924-1925,De Doode Oogen,13/11/1924,,TRUE,829020,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00117-20220207_163413.jpg,1924-1925,Zooals Voorheen,13/11/1924,,TRUE,829020,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00119-20220207_163426.jpg,1924-1925,De Getemde Feeks,15/11/1924,,FALSE,694209,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00121-20220207_163439.jpg,1924-1925,Carmen,16/11/1924,,FALSE,155278,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00123-20220207_163454.jpg,1924-1925,De Doode Oogen,16/11/1924,,TRUE,771358,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00123-20220207_163454.jpg,1924-1925,Zooals Voorheen,16/11/1924,,TRUE,771358,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00125-20220207_163505.jpg,1924-1925,De Getemde Feeks,18/11/1924,,FALSE,262396,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00127-20220207_163518.jpg,1924-1925,Rijngoud,20/11/1924,,FALSE,210192,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00129-20220207_163529.jpg,1924-1925,Hansje en Grietje,22/11/1924,,FALSE,827349,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00131-20220207_163545.jpg,1924-1925,De Tooverfluit,23/11/1924,,FALSE,429461,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00133-20220207_163557.jpg,1924-1925,De Getemde Feeks,23/11/1924,,FALSE,956417,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00135-20220207_163610.jpg,1924-1925,Hansje en Grietje,25/11/1924,,FALSE,104266,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00137-20220207_163620.jpg,1924-1925,Carmen,27/11/1924,,FALSE,586949,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00139-20220207_163631.jpg,1924-1925,Tannhauser,29/11/1924,,FALSE,661296,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00141-20220207_163641.jpg,1924-1925,De Doode Oogen,30/11/1924,,TRUE,923866,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00141-20220207_163641.jpg,1924-1925,Zooals Voorheen,30/11/1924,,TRUE,923866,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00143-20220207_163651.jpg,1924-1925,Hansje en Grietje,30/11/1924,Eerste opvoering,TRUE,108481,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00143-20220207_163651.jpg,1924-1925,Phoebé,30/11/1924,Eerste opvoering,TRUE,108481,Phoebé,N/A,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00145-20220207_163707.jpg,1924-1925,Tannhauser,02/12/1924,,FALSE,432152,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00147-20220207_163720.jpg,1924-1925,Hansje en Grietje,04/12/1924,,FALSE,520310,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00149-20220207_163736.jpg,1924-1925,De Getemde Feeks,04/12/1924,,FALSE,969802,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00151-20220207_163747.jpg,1924-1925,De Legende van Sakuntala,06/12/1924,gala,FALSE,986655,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00153-20220207_163803.jpg,1924-1925,Hansje en Grietje,07/12/1924,,FALSE,420988,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00157-20220207_163835.jpg,1924-1925,Carmen,07/12/1924,,FALSE,964248,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00159-20220207_163850.jpg,1924-1925,De Legende van Sakuntala,09/12/1924,,FALSE,388859,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00162-20220207_163911.jpg,1924-1925,De Legende van Sakuntala,11/12/1924,,FALSE,592150,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00167-20220207_163942.jpg,1924-1925,De Doode Oogen,13/12/1924,,TRUE,114498,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00167-20220207_163942.jpg,1924-1925,Phoebé,13/12/1924,,TRUE,114498,Phoebé,N/A,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00171-20220207_164009.jpg,1924-1925,De Legende van Sakuntala,14/12/1924,,FALSE,114176,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00175-20220207_164034.jpg,1924-1925,De Getemde Feeks,14/12/1924,,FALSE,790528,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00177-20220207_164048.jpg,1924-1925,De Tooverfluit,16/12/1924,"Gala, de leden van 'doe het goede om het goede' aangeboden",FALSE,214697,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00181-20220207_164117.jpg,1924-1925,De Legende van Sakuntala,18/12/1924,,FALSE,335010,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00185-20220207_164140.jpg,1924-1925,De Gouden Haan,20/12/1924,,FALSE,502543,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00187-20220207_164155.jpg,1924-1925,Hansje en Grietje,21/12/1924,,FALSE,271623,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00191-20220207_164228.jpg,1924-1925,De Legende van Sakuntala,21/12/1924,,FALSE,505111,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00193-20220207_164240.jpg,1924-1925,De Gouden Haan,23/12/1924,,FALSE,315593,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00195-20220207_164252.jpg,1924-1925,De Doode Oogen,25/12/1924,Ter gelegenheid van het kerstfeest,TRUE,766191,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00195-20220207_164252.jpg,1924-1925,Phoebé,25/12/1924,Ter gelegenheid van het kerstfeest,TRUE,766191,Phoebé,N/A,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00199-20220207_164316.jpg,1924-1925,Tannhauser,25/12/1924,,FALSE,921865,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00203-20220207_164340.jpg,1924-1925,Hansje en Grietje,26/12/1924,Ter gelegenheid van het kerstfeest,FALSE,481907,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00207-20220207_164404.jpg,1924-1925,De Legende van Sakuntala,27/12/1924,,FALSE,183776,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00211-20220207_164429.jpg,1924-1925,De Tooverfluit,28/12/1924,,FALSE,830246,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00215-20220207_164456.jpg,1924-1925,Hoffmann's Vertellingenen,28/12/1924,,FALSE,116385,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00217-20220207_164507.jpg,1924-1925,Hoffmann's Vertellingenen,30/12/1924,,FALSE,124522,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00219-20220207_164524.jpg,1924-1925,Jean-Marie,01/01/1925,,TRUE,426219,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00219-20220207_164524.jpg,1924-1925,Zooals Voorheen,01/01/1925,,TRUE,426219,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00219-20220207_164524.jpg,1924-1925,Winternachtsdroom,01/01/1925,,TRUE,426219,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00223-20220207_164548.jpg,1924-1925,Hoffmann's Vertellingenen,03/01/1925,,FALSE,704674,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00225-20220207_164602.jpg,1924-1925,De Gouden Haan,04/01/1925,,FALSE,226258,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00227-20220207_164613.jpg,1924-1925,Tannhauser,04/01/1925,,FALSE,587915,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00231-20220207_164637.jpg,1924-1925,De Tooverfluit,06/01/1925,gala de leden van Kring 'Unitas' aangeboden,FALSE,560748,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00235-20220207_164704.jpg,1924-1925,De Legende van Sakuntala,08/01/1925,,FALSE,320999,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00239-20220207_164727.jpg,1924-1925,Rijngoud,10/01/1925,,FALSE,578475,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00243-20220207_164751.jpg,1924-1925,Tannhauser,11/01/1925,,FALSE,684175,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00247-20220207_164814.jpg,1924-1925,Hoffmann's Vertellingenen,11/01/1925,,FALSE,965867,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00249-20220207_164831.jpg,1924-1925,De Doode Oogen,13/01/1925,"gala, de leden van de maatschappij 'De Vrije Antwerpenaren' aangeboden",TRUE,659102,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00249-20220207_164831.jpg,1924-1925,Zooals Voorheen,13/01/1925,"gala, de leden van de maatschappij 'De Vrije Antwerpenaren' aangeboden",TRUE,659102,Zooals Voorheen,N/A,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00253-20220207_164854.jpg,1924-1925,Jean-Marie,15/01/1925,,TRUE,702149,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00253-20220207_164854.jpg,1924-1925,Milenka,15/01/1925,,TRUE,702149,Milenka,FR,Jan Blockx,1888,Milenka,pantomime,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00253-20220207_164854.jpg,1924-1925,Winternachtsdroom,15/01/1925,,TRUE,702149,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00257-20220207_164917.jpg,1924-1925,De Walkure,17/01/1925,,FALSE,486828,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00259-20220207_164928.jpg,1924-1925,Jean Marie,18/01/1925,,TRUE,921522,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00259-20220207_164928.jpg,1924-1925,Milenka,18/01/1925,,TRUE,921522,Milenka,FR,Jan Blockx,1888,Milenka,pantomime,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00259-20220207_164928.jpg,1924-1925,Winternachtsdroom,18/01/1925,,TRUE,921522,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00263-20220207_164952.jpg,1924-1925,De Legende van Sakuntala,18/01/1925,,TRUE,372053,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00263-20220207_164952.jpg,1924-1925,Dansenreeks,18/01/1925,,TRUE,372053,Dansenreeks,?,?,?,?,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00267-20220207_165011.jpg,1924-1925,De Gouden Haan,20/11/1925,"gala, den leden van de maatschappij 'de Zuidster' aangeboden",FALSE,518689,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1925-1926,Fé Derickx & Bernard Tokkie
1924-1925_00269-20220207_165024.jpg,1924-1925,De Walkure,22/01/1925,,FALSE,478758,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00271-20220207_165034.jpg,1924-1925,De Vrijschutter,24/01/1925,,FALSE,555593,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00273-20220207_165044.jpg,1924-1925,De Legende van Sakuntala,25/01/1925,,FALSE,621123,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00277-20220207_165108.jpg,1924-1925,Jean Marie,25/01/1925,,TRUE,192037,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00277-20220207_165108.jpg,1924-1925,Hansje en Grietje,25/01/1925,,TRUE,192037,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00279-20220207_165121.jpg,1924-1925,De Walkure,27/01/1925,,FALSE,919530,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00281-20220207_165133.jpg,1924-1925,De Vrijschutter,29/01/1925,,FALSE,610651,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00283-20220207_165146.jpg,1924-1925,De Legende van Sakuntala,31/01/1925,,TRUE,334559,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00283-20220207_165146.jpg,1924-1925,Dansenreeks,31/01/1925,,TRUE,334559,Dansenreeks,?,?,?,?,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00287-20220207_165215.jpg,1924-1925,Jean-Marie,31/01/1925,,TRUE,841013,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00287-20220207_165215.jpg,1924-1925,Milenka,31/01/1925,,TRUE,841013,Milenka,FR,Jan Blockx,1888,Milenka,pantomime,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00287-20220207_165215.jpg,1924-1925,Winternachtsdroom,31/01/1925,,TRUE,841013,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00291-20220207_165237.jpg,1924-1925,De Vrijschutter,01/02/1925,,FALSE,274788,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00293-20220207_165255.jpg,1924-1925,De Vrijschutter,03/02/1925,,FALSE,454790,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00295-20220207_165308.jpg,1924-1925,Hoffmann's Vertellingenen,05/02/1925,,FALSE,443436,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00297-20220207_165320.jpg,1924-1925,Tannhauser,07/02/1925,,FALSE,511569,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00301-20220207_165343.jpg,1924-1925,Hoffmann's Vertellingenen,08/02/1925,,FALSE,166888,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00303-20220207_165355.jpg,1924-1925,De Walkure,08/02/1925,,FALSE,727583,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00305-20220207_165411.jpg,1924-1925,De Doode Oogen,10/02/1925,"gala, de delen van ""doe het goede om het goede"" aangeboden",TRUE,944651,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00305-20220207_165411.jpg,1924-1925,Jean-Marie,10/02/1925,"gala, de delen van ""doe het goede om het goede"" aangeboden",TRUE,944651,Jean-Marie,?,W. Verbeeck,?,?,drama,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00309-20220207_165437.jpg,1924-1925,De Legende van Sakuntala,11/02/1925,gala,FALSE,357188,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakantala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00313-20220207_165504.jpg,1924-1925,Sadko,14/02/1925,"gala, eerste opvoering in BelgiÃ«",FALSE,122235,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00315-20220207_165514.jpg,1924-1925,De Doode Oogen,15/02/1925,,TRUE,917519,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00315-20220207_165514.jpg,1924-1925,Dansenreeks,15/02/1925,,TRUE,917519,Dansenreeks,?,?,?,?,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00319-20220207_165549.jpg,1924-1925,De Gouden Haan,15/02/1925,,TRUE,617170,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00321-20220207_165601.jpg,1924-1925,Sadko,17/02/1925,,FALSE,485213,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00321-20220207_165601.jpg,1924-1925,Sadko,19/02/1925,,FALSE,951707,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00325-20220207_165637.jpg,1924-1925,Hoffmann's Vertellingenen,21/02/1925,ter gelegenheid van carnaval,FALSE,775855,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00329-20220207_165717.jpg,1924-1925,Herbergprinses,22/02/1925,ter gelegenheid van carnaval,FALSE,468265,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00333-20220207_165746.jpg,1924-1925,Sadko,22/02/1925,ter gelegenheid van carnaval,FALSE,286080,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00337-20220207_165820.jpg,1924-1925,Hansje en Grietje,23/02/1925,ter gelegenheid van carnaval,FALSE,933309,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00341-20220207_165852.jpg,1924-1925,Carmen,23/01/1925,ter gelegenheid van carnaval,FALSE,641154,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00343-20220207_165904.jpg,1924-1925,Sadko,24/02/1925,,FALSE,453554,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00347-20220207_165940.jpg,1924-1925,Sadko,26/02/1925,,FALSE,751206,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00351-20220207_170002.jpg,1924-1925,Figaro's Bruiloft,28/02/1925,,FALSE,602623,Figaro's Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00353-20220207_170012.jpg,1924-1925,Sadko,01/03/1925,,FALSE,523024,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00361-20220207_170101.jpg,1924-1925,De Vrijschutter,01/03/1925,,TRUE,836127,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00361-20220207_170101.jpg,1924-1925,Phoebé,01/03/1925,,TRUE,836127,Phoebé,N/A,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie
1924-1925_00363-20220207_170112.jpg,1924-1925,Sadko,03/03/1925,,FALSE,322728,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1924-1925,Fé Derickx & Bernard Tokkie
