,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Season,Title_Language,Occasion,Production_Language,Dutch,German,Title_Language_GLM,Dutch_Title,German_Title
64,1894-11-06,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
65,1894-11-10,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
66,1894-11-13,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,1894-1895,Unk,N,German,False,True,other,False,False
67,1894-11-17,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
68,1894-11-20,?,Edward Keurvels & Henry Fontaine,Bergliot,Edvard Grieg,False,1894-1895,Unk,N,other,False,False,other,False,False
69,1894-11-24,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,G,German,False,True,Dutch,True,False
70,1894-12-04,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
71,1894-12-01,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,G,German,False,True,Dutch,True,False
72,1894-12-07,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
73,1894-12-08,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
74,1894-12-11,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
75,1894-12-15,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,G,German,False,True,other,False,False
76,1894-12-26,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
77,1894-12-18,1873,Edward Keurvels & Henry Fontaine,Jeanne D'Arc,Charles Gounod,False,1894-1895,Unk,N,other,False,False,other,False,False
78,1894-12-22,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
79,1894-12-25,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
80,1894-12-29,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
81,1895-01-02,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
82,1895-01-02,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
83,1895-01-05,1843,Edward Keurvels & Henry Fontaine,De Vliegende Hollander,Richard Wagner,False,1894-1895,NL,N,German,False,True,Dutch,True,False
84,1895-08-01,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
85,1895-01-12,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
86,1895-01-15,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
87,1895-01-19,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
88,1895-01-22,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
89,1895-01-26,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
90,1895-01-29,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
91,1895-02-02,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
92,1895-02-05,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
93,1895-02-09,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
94,1895-02-12,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
95,1895-02-16,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
96,1895-02-19,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,1894-1895,Unk,N,Dutch,True,False,other,False,False
97,1895-02-26,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
98,1895-03-02,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,1894-1895,Unk,N,Dutch,True,False,other,False,False
99,1895-03-05,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1894-1895,NL,N,German,False,True,Dutch,True,False
100,1895-03-05,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,False,1894-1895,Unk,N,German,False,True,other,False,False
101,1895-03-05,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
102,1895-03-12,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,1894-1895,Unk,N,Dutch,True,False,other,False,False
103,1895-03-16,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
104,1895-03-19,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
105,1895-03-23,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
106,1895-03-30,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
107,1895-04-02,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
108,1895-04-06,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
109,1895-04-07,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
110,1895-04-09,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,1894-1895,Unk,N,German,False,True,other,False,False
111,1895-04-11,?,Edward Keurvels & Henry Fontaine,concert P. Benoit,?,False,1894-1895,NL,N,other,False,False,Dutch,True,False
112,1895-04-09,?,Edward Keurvels & Henry Fontaine,concert P. Benoit,?,False,1894-1895,NL,N,other,False,False,Dutch,True,False
113,1895-04-14,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,1894-1895,NL,N,German,False,True,Dutch,True,False
114,1895-04-16,1834,Edward Keurvels & Henry Fontaine,Een Nacht te Grenada,Conradin Kreutzer,False,1894-1895,NL,N,German,False,True,Dutch,True,False
115,1895-04-20,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
116,1895-04-21,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,1894-1895,Unk,N,German,False,True,other,False,False
117,1895-04-23,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,1894-1895,Unk,N,German,False,True,other,False,False
