Date	Production
2/4/1942	De Dans met de Keizerin
4/4/1942	Prinses Zonneschijn
5/4/1942	Ballet
5/4/1942	De Barbier van Sevilla
5/4/1942	Prinses Zonneschijn
8/4/1942	Het Land van de Glimlach
9/4/1942	La Traviata
11/4/1942	La Traviata
12/4/1942	Het Land van de Glimlach
12/4/1942	Het Land van de Glimlach
14/4/1942	Prinses Zonneschijn
16/4/1942	Ballet Carnaval
16/4/1942	De Barbier van Sevilla
18/4/1924	Het Land van de Glimlach
19/4/1942	La Traviata
19/4/1942	De Vliegende Hollander
22/4/1942	De Vledermuis
23/4/1942	De Vliegende Hollander
25/4/1942	De Barbier van Sevilla
26/4/1942	De Vliegende Hollander
26/4/1942	La Traviata
30/4/1942	Prinses Zonneschijn
1/5/1942	Feest van de Arbeid 
2/5/1942	De Ontvoering uit het Serail
3/5/1942	Prinses Zonneschijn
3/5/1942	De Ontvoering uit het Serail
4/5/1942	Symfonisch concert nav Mozartweek 
5/5/1942	Mozart theenamiddag 
6/5/1942	Voordracht Mozart in Redoutezaal 
7/5/1942	Kamermuziek, herdenking Mozart
8/5/1942	Symfonisch Orkest: Paul Douliez 
9/5/1942	Cosi fan Tutte
10/5/1942	De Ontvoering uit het Serail
10/5/1942	De Ontvoering uit het Serail
14/5/1942	De Barbier van Sevilla
16/5/1942	De Mascotte 
17/5/1942	De Mascotte 
17/5/1942	De Barbier van Sevilla
18/5/1942	De Ontvoering uit het Serail
21/5/1942	De Mascotte 
23/5/1942	La Traviata
24/5/1942	Banket (Grote Bazar) salons 
24/5/1942	Cosi fan Tutte
24/5/1942	Cosi fan Tutte
24/5/1942	Banket (Grote Bazar) salons 
28/5/1942	Cosi fan Tutte
30/5/1942	De Lustige Weduwe
31/5/1942	De Lustige Weduwe
31/5/1942	De Mascotte 
1/6/1942	Faust
4/6/1942	Faust
6/6/1942	Faust
7/6/1942	De Mascotte 
7/6/1942	Faust
11/6/1942	De Lustige Weduwe
13/6/1942	De Zigeunerbaron
14/6/1942	Faust
14/6/1942	De Lustige Weduwe
16/6/1942	Tentoonstelling in Redoutezaal 
16/6/1942	Zwei Frohe Stunden 
17/6/1942	Variété voor de Duitse Weermacht 
18/6/1942	De Zigeunerbaron
20/6/1942	Faust
21/6/1942	De Zigeunerbaron
21/6/1942	De Zigeunerbaron
22/6/1942	De Zigeunerbaron
25/6/1942	Faust
27/6/1942	De Mascotte 
28/6/1942	De Lustige Weduwe
28/6/1942	Faust
29/6/1942	Faust
1/7/1942	Concert van de Duitse Weermacht 
4/7/1942	Balletavond Opera van Essen 
5/7/1942	Bont artiestenfeest
5/7/1942	Bont artiestenfeest
11/7/1942	Tijl Uilenspiegel
12/7/1942	Bont artiestenfeest
16/7/1942	Artiestenrevue
18/7/1942	Spreekbeurt
19/7/1942	Die Verkaufte Braut 
20/7/1942	Die Verkaufte Braut 
21/7/1942	Die Verkaufte Braut 
16/8/1942	Tijl Uilenspiegel
6/9/1942	Herhaling ‘sportfeest’ van de politie 
1/10/1942	Tannhäuser
4/10/1942	Weenerbloed
4/10/1942	Tannhäuser
5/10/1942	1 e symfonisch concert 
6/10/1942	Weenerbloed
7/10/1942	Tosca
8/10/1942	Tosca
11/10/1942	Tosca
11/10/1942	Weenerbloed
13/10/1942	Tosca
15/10/1942	Weenerbloed
17/10/1942	Ein Heiterer Abend 
18/10/1942	Tannhäuser
18/10/1942	Tosca
19/10/1942	Grootsche Kampvergadering 
20/10/1942	Tannhäuser
22/10/1942	Weenerbloed
25/10/1942	Faust
25/10/1942	Monika
27/10/1942	Faust
29/10/1942	Gudrun
29/10/1942	Monika
1/11/1942	Gudrun
1/11/1942	Weenerbloed/Weenerwalsen
3/11/1942	Monika
5/11/1942	Faillissement
5/11/1942	Monika
8/11/1942	Monika
8/11/1942	Gudrun
10/11/1942	Gudrun
10/11/1942	Getrouwd
12/11/1942	Tosca
15/11/1942	Salons: voordracht + eedaflegging VNV 
15/11/1942	Bohème
15/11/1942	Tosca
16/11/1942	2 de Symfonieconcert 
17/11/1942	Bohème
19/11/1942	Bohème
22/11/1942	Tosca
22/11/1942	Gasparone
24/11/1942	Tosca
26/11/1942	Gasparone
26/11/1942	Gasparone
29/11/1942	Faust
29/11/1942	Spreekbeurt Duitse Weermacht 
29/11/1942	Bohème
1/12/1942	Gasparone
3/12/1942	Monika
6/12/1942	Sint Niklaasfeest
6/12/1942	Ballet Danse Suite
6/12/1942	Madame Butterfly 
6/12/1942	Faust
8/12/1942	Faust
10/12/1942	Don Juan
13/12/1942	Gasparone
13/12/1942	Don Juan
14/12/1942	3 e Symfonisch Concert 
15/12/1942	Ballet
15/12/1942	Madame Butterfly
17/12/1942	Sint Jansvuur
17/12/1942	Concert Regenburger – Domkers
18/12/1942	Maria Stuart
20/12/1944	De Bedelstudent
20/12/1942	Ballet
20/12/1942	Madame Butterfly
21/12/1942	Concert Lieven Duvosel
21/12/1942	Hansel en Gretel
22/12/1942	De Bedelstudent
23/12/1942	Dansfeest
24/12/1942	Hansel en Gretel
25/12/1942	Hansel en Gretel
25/12/1942	De Bedelstudent
26/12/1942	Monika
26/12/1942	De Bedelstudent
26/12/1942	Kerstgeschenken
27/12/1942	Don Juan
27/12/1942	Gasparone
29/12/1942	Don Juan
31/12/1942	De Bedelstudent
3/1/1943	Hansel en Gretel
3/1/1943	De Bedelstudent
5/1/1943	Tannhäuser
6/1/1943	Weermachtsconcert
7/1/1943	Tannhäuser
10/1/1943	Gasparone
10/1/1943	Hansel en Gretel
11/1/1943	4 e Symfonieconcert 
12/1/1943	De Bedelstudent
14/1/1943	Ballet Suite de Dance
14/1/1943	Madame Butterfly
17/1/1943	De Lustige Weduwe
17/1/1943	Bohème
19/1/1943	De Lustige Weduwe
21/1/1943	Mona Lisa
24/1/1943	Peperbol
